"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Percent","Los Angeles County, California!!Estimate","Los Angeles County, California!!Percent","Merced County, California!!Estimate","Merced County, California!!Percent","Orange County, California!!Estimate","Orange County, California!!Percent","Riverside County, California!!Estimate","Riverside County, California!!Percent","San Diego County, California!!Estimate","San Diego County, California!!Percent","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Percent","Shasta County, California!!Estimate","Shasta County, California!!Percent","Yolo County, California!!Estimate","Yolo County, California!!Percent"
"        2 units","20,421","3.2%","94,064","2.6%","2,860","3.2%","22,428","2.0%","9,896","1.2%","21,726","1.8%","6,635","4.2%","2,177","2.7%","1,427","1.8%"
"        3 or 4 units","42,324","6.7%","211,448","5.8%","4,417","4.9%","76,829","6.7%","28,489","3.3%","64,196","5.2%","7,839","4.9%","5,184","6.5%","4,660","5.7%"
"        5 to 9 units","34,023","5.4%","291,273","8.0%","4,155","4.7%","62,723","5.5%","36,830","4.3%","86,580","7.0%","11,419","7.1%","2,249","2.8%","4,723","5.8%"
"        10 to 19 units","30,437","4.8%","272,703","7.5%","1,206","1.4%","53,170","4.7%","23,281","2.7%","78,808","6.4%","8,699","5.4%","630","0.8%","5,284","6.5%"
"        20 or more units","113,773","18.1%","727,889","20.1%","4,317","4.8%","178,757","15.7%","43,644","5.1%","195,403","15.8%","11,861","7.4%","3,494","4.4%","8,262","10.2%"
"        Mobile home","8,163","1.3%","50,300","1.4%","6,213","7.0%","30,390","2.7%","75,829","8.8%","41,050","3.3%","6,676","4.2%","7,229","9.1%","3,280","4.0%"
"        Boat, RV, van, etc.","748","0.1%","2,524","0.1%","144","0.2%","580","0.1%","1,061","0.1%","1,224","0.1%","71","0.0%","780","1.0%","45","0.1%"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","",""
"    Total housing units","629,159","629,159","3,620,201","3,620,201","89,328","89,328","1,139,043","1,139,043","858,681","858,681","1,237,685","1,237,685","159,771","159,771","79,713","79,713","81,252","81,252"
"        Built 2020 or later","3,561","0.6%","14,864","0.4%","262","0.3%","9,211","0.8%","9,040","1.1%","8,564","0.7%","516","0.3%","673","0.8%","749","0.9%"
"        Built 2010 to 2019","39,635","6.3%","181,798","5.0%","6,637","7.4%","88,810","7.8%","82,524","9.6%","85,196","6.9%","9,882","6.2%","4,131","5.2%","5,750","7.1%"
"        Built 2000 to 2009","46,029","7.3%","211,118","5.8%","17,428","19.5%","100,857","8.9%","203,345","23.7%","161,156","13.0%","15,134","9.5%","10,125","12.7%","15,608","19.2%"
"        Built 1990 to 1999","48,105","7.6%","218,391","6.0%","13,011","14.6%","126,804","11.1%","120,764","14.1%","135,813","11.0%","13,540","8.5%","11,467","14.4%","9,209","11.3%"
"        Built 1980 to 1989","75,772","12.0%","430,002","11.9%","12,711","14.2%","168,598","14.8%","180,676","21.0%","232,968","18.8%","22,499","14.1%","17,263","21.7%","12,056","14.8%"
"        Built 1970 to 1979","94,893","15.1%","514,109","14.2%","14,021","15.7%","253,723","22.3%","116,226","13.5%","260,954","21.1%","29,271","18.3%","15,793","19.8%","15,724","19.4%"
"        Built 1960 to 1969","78,237","12.4%","497,956","13.8%","8,007","9.0%","199,067","17.5%","64,091","7.5%","139,511","11.3%","34,246","21.4%","7,848","9.8%","8,541","10.5%"
"        Built 1950 to 1959","76,996","12.2%","686,571","19.0%","7,518","8.4%","142,759","12.5%","49,358","5.7%","121,802","9.8%","16,909","10.6%","7,583","9.5%","8,254","10.2%"
"        Built 1940 to 1949","45,799","7.3%","345,793","9.6%","6,374","7.1%","21,775","1.9%","15,165","1.8%","39,294","3.2%","5,237","3.3%","2,849","3.6%","2,116","2.6%"
"        Built 1939 or earlier","120,132","19.1%","519,599","14.4%","3,359","3.8%","27,439","2.4%","17,492","2.0%","52,427","4.2%","12,537","7.8%","1,981","2.5%","3,245","4.0%"
"ROOMS","","","","","","","","","","","","","","","","","",""
"    Total housing units","629,159","629,159","3,620,201","3,620,201","89,328","89,328","1,139,043","1,139,043","858,681","858,681","1,237,685","1,237,685","159,771","159,771","79,713","79,713","81,252","81,252"
"        1 room","30,952","4.9%","239,251","6.6%","2,964","3.3%","37,492","3.3%","18,956","2.2%","49,987","4.0%","6,364","4.0%","860","1.1%","2,595","3.2%"
"        2 rooms","39,141","6.2%","210,526","5.8%","1,117","1.3%","47,756","4.2%","22,917","2.7%","64,718","5.2%","6,914","4.3%","3,103","3.9%","3,067","3.8%"
"        3 rooms","89,595","14.2%","572,237","15.8%","5,592","6.3%","136,662","12.0%","66,366","7.7%","158,285","12.8%","15,867","9.9%","6,584","8.3%","9,297","11.4%"
"        4 rooms","126,788","20.2%","759,763","21.0%","12,236","13.7%","232,405","20.4%","148,971","17.3%","247,741","20.0%","34,650","21.7%","14,253","17.9%","13,662","16.8%"
"        5 rooms","108,221","17.2%","624,053","17.2%","19,369","21.7%","190,252","16.7%","171,437","20.0%","221,816","17.9%","28,447","17.8%","19,688","24.7%","17,642","21.7%"
"        6 rooms","95,424","15.2%","533,803","14.7%","24,287","27.2%","186,352","16.4%","158,145","18.4%","190,866","15.4%","29,223","18.3%","14,499","18.2%","14,295","17.6%"
"        7 rooms","58,115","9.2%","285,238","7.9%","10,387","11.6%","122,943","10.8%","101,894","11.9%","121,608","9.8%","16,209","10.1%","11,590","14.5%","7,656","9.4%"
"        8 rooms","38,930","6.2%","205,079","5.7%","6,999","7.8%","89,638","7.9%","81,432","9.5%","92,287","7.5%","10,934","6.8%","3,766","4.7%","6,297","7.7%"
"        9 rooms or more","41,993","6.7%","190,251","5.3%","6,377","7.1%","95,543","8.4%","88,563","10.3%","90,377","7.3%","11,163","7.0%","5,370","6.7%","6,741","8.3%"
"        Median rooms","4.8","(X)","4.5","(X)","5.6","(X)","5.1","(X)","5.5","(X)","4.9","(X)","5.1","(X)","5.3","(X)","5.2","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","",""
"    Total housing units","629,159","629,159","3,620,201","3,620,201","89,328","89,328","1,139,043","1,139,043","858,681","858,681","1,237,685","1,237,685","159,771","159,771","79,713","79,713","81,252","81,252"
"        No bedroom","35,574","5.7%","267,027","7.4%","3,015","3.4%","40,252","3.5%","21,772","2.5%","57,392","4.6%","6,825","4.3%","1,086","1.4%","2,652","3.3%"
"        1 bedroom","102,342","16.3%","682,612","18.9%","4,744","5.3%","148,241","13.0%","65,107","7.6%","171,824","13.9%","19,436","12.2%","7,284","9.1%","10,275","12.6%"
"        2 bedrooms","177,351","28.2%","1,072,931","29.6%","17,845","20.0%","312,598","27.4%","210,718","24.5%","357,089","28.9%","43,293","27.1%","24,027","30.1%","18,212","22.4%"
"        3 bedrooms","180,507","28.7%","1,020,253","28.2%","41,884","46.9%","327,559","28.8%","292,459","34.1%","372,256","30.1%","56,073","35.1%","36,879","46.3%","30,628","37.7%"
"        4 bedrooms","107,376","17.1%","451,700","12.5%","18,044","20.2%","243,346","21.4%","198,995","23.2%","221,081","17.9%","27,538","17.2%","9,479","11.9%","15,986","19.7%"
"        5 or more bedrooms","26,009","4.1%","125,678","3.5%","3,796","4.2%","67,047","5.9%","69,630","8.1%","58,043","4.7%","6,606","4.1%","958","1.2%","3,499","4.3%"
"HOUSING TENURE","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","589,180","589,180","3,375,587","3,375,587","84,967","84,967","1,077,193","1,077,193","765,673","765,673","1,162,896","1,162,896","150,550","150,550","71,506","71,506","76,844","76,844"
"        Owner-occupied","321,870","54.6%","1,568,009","46.5%","43,293","51.0%","608,989","56.5%","522,043","68.2%","631,760","54.3%","78,081","51.9%","43,537","60.9%","41,470","54.0%"
"        Renter-occupied","267,310","45.4%","1,807,578","53.5%","41,674","49.0%","468,204","43.5%","243,630","31.8%","531,136","45.7%","72,469","48.1%","27,969","39.1%","35,374","46.0%"
"        Average household size of owner-occupied unit","2.91","(X)","3.07","(X)","3.27","(X)","2.94","(X)","3.21","(X)","2.82","(X)","2.80","(X)","2.59","(X)","2.92","(X)"
"        Average household size of renter-occupied unit","2.55","(X)","2.67","(X)","3.33","(X)","2.86","(X)","3.05","(X)","2.67","(X)","2.82","(X)","2.38","(X)","2.53","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","589,180","589,180","3,375,587","3,375,587","84,967","84,967","1,077,193","1,077,193","765,673","765,673","1,162,896","1,162,896","150,550","150,550","71,506","71,506","76,844","76,844"
"        Moved in 2019 or later","154,961","26.3%","812,192","24.1%","19,754","23.2%","297,938","27.7%","186,555","24.4%","365,576","31.4%","42,466","28.2%","18,766","26.2%","24,618","32.0%"
"        Moved in 2015 to 2018","124,533","21.1%","687,471","20.4%","23,085","27.2%","225,581","20.9%","200,974","26.2%","249,959","21.5%","31,816","21.1%","17,285","24.2%","15,667","20.4%"
"        Moved in 2010 to 2014","95,469","16.2%","530,359","15.7%","13,572","16.0%","149,146","13.8%","127,609","16.7%","167,355","14.4%","21,610","14.4%","10,462","14.6%","9,977","13.0%"
"        Moved in 2000 to 2009","97,511","16.6%","608,416","18.0%","14,797","17.4%","187,584","17.4%","151,189","19.7%","187,678","16.1%","24,872","16.5%","11,905","16.6%","12,630","16.4%"
"        Moved in 1990 to 1999","55,945","9.5%","380,398","11.3%","6,825","8.0%","118,378","11.0%","61,726","8.1%","100,864","8.7%","15,286","10.2%","6,306","8.8%","7,336","9.5%"
"        Moved in 1989 and earlier","60,761","10.3%","356,751","10.6%","6,934","8.2%","98,566","9.2%","37,620","4.9%","91,464","7.9%","14,500","9.6%","6,782","9.5%","6,616","8.6%"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","589,180","589,180","3,375,587","3,375,587","84,967","84,967","1,077,193","1,077,193","765,673","765,673","1,162,896","1,162,896","150,550","150,550","71,506","71,506","76,844","76,844"
"        No vehicles available","52,226","8.9%","289,557","8.6%","6,229","7.3%","50,328","4.7%","32,594","4.3%","63,566","5.5%","8,852","5.9%","4,605","6.4%","6,623","8.6%"
"        1 vehicle available","199,967","33.9%","1,148,366","34.0%","20,768","24.4%","310,132","28.8%","202,750","26.5%","358,893","30.9%","43,415","28.8%","21,764","30.4%","22,768","29.6%"
"        2 vehicles available","215,200","36.5%","1,170,393","34.7%","32,232","37.9%","434,318","40.3%","282,236","36.9%","458,493","39.4%","55,639","37.0%","26,596","37.2%","28,181","36.7%"
"        3 or more vehicles available","121,787","20.7%","767,271","22.7%","25,738","30.3%","282,415","26.2%","248,093","32.4%","281,944","24.2%","42,644","28.3%","18,541","25.9%","19,272","25.1%"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","589,180","589,180","3,375,587","3,375,587","84,967","84,967","1,077,193","1,077,193","765,673","765,673","1,162,896","1,162,896","150,550","150,550","71,506","71,506","76,844","76,844"
"        Utility gas","386,460","65.6%","2,117,817","62.7%","50,914","59.9%","726,750","67.5%","530,226","69.2%","632,891","54.4%","101,991","67.7%","28,862","40.4%","45,255","58.9%"
"        Bottled, tank, or LP gas","11,349","1.9%","60,191","1.8%","2,640","3.1%","18,077","1.7%","25,553","3.3%","38,681","3.3%","4,207","2.8%","6,814","9.5%","2,882","3.8%"
"        Electricity","172,240","29.2%","969,693","28.7%","27,332","32.2%","287,971","26.7%","182,119","23.8%","409,305","35.2%","35,830","23.8%","24,311","34.0%","24,344","31.7%"
"        Fuel oil, kerosene, etc.","349","0.1%","3,433","0.1%","84","0.1%","1,198","0.1%","264","0.0%","1,359","0.1%","143","0.1%","1,594","2.2%","0","0.0%"
"        Coal or coke","0","0.0%","208","0.0%","0","0.0%","98","0.0%","69","0.0%","0","0.0%","116","0.1%","47","0.1%","0","0.0%"
"        Wood","1,180","0.2%","5,914","0.2%","453","0.5%","853","0.1%","2,939","0.4%","7,247","0.6%","585","0.4%","8,443","11.8%","921","1.2%"
"        Solar energy","4,326","0.7%","18,116","0.5%","2,000","2.4%","7,829","0.7%","9,896","1.3%","22,232","1.9%","1,272","0.8%","792","1.1%","2,779","3.6%"
"        Other fuel","883","0.1%","6,567","0.2%","902","1.1%","1,073","0.1%","1,878","0.2%","3,178","0.3%","143","0.1%","67","0.1%","66","0.1%"
"        No fuel used","12,393","2.1%","193,648","5.7%","642","0.8%","33,344","3.1%","12,729","1.7%","48,003","4.1%","6,263","4.2%","576","0.8%","597","0.8%"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","589,180","589,180","3,375,587","3,375,587","84,967","84,967","1,077,193","1,077,193","765,673","765,673","1,162,896","1,162,896","150,550","150,550","71,506","71,506","76,844","76,844"
"        Lacking complete plumbing facilities","2,767","0.5%","14,525","0.4%","140","0.2%","2,153","0.2%","2,631","0.3%","3,469","0.3%","480","0.3%","524","0.7%","664","0.9%"
"        Lacking complete kitchen facilities","5,069","0.9%","54,142","1.6%","228","0.3%","17,277","1.6%","5,740","0.7%","6,804","0.6%","1,531","1.0%","1,058","1.5%","727","0.9%"
"        No telephone service available","5,586","0.9%","34,704","1.0%","1,102","1.3%","10,068","0.9%","7,653","1.0%","8,118","0.7%","1,189","0.8%","725","1.0%","380","0.5%"
"OCCUPANTS PER ROOM","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","589,180","589,180","3,375,587","3,375,587","84,967","84,967","1,077,193","1,077,193","765,673","765,673","1,162,896","1,162,896","150,550","150,550","71,506","71,506","76,844","76,844"
"        1.00 or less","545,049","92.5%","2,997,538","88.8%","77,457","91.2%","984,817","91.4%","713,932","93.2%","1,083,586","93.2%","134,198","89.1%","69,695","97.5%","72,379","94.2%"
"        1.01 to 1.50","27,830","4.7%","212,139","6.3%","4,792","5.6%","59,131","5.5%","36,127","4.7%","47,898","4.1%","8,957","5.9%","1,175","1.6%","2,437","3.2%"
"        1.51 or more","16,301","2.8%","165,910","4.9%","2,718","3.2%","33,245","3.1%","15,614","2.0%","31,412","2.7%","7,395","4.9%","636","0.9%","2,028","2.6%"
"VALUE","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","321,870","321,870","1,568,009","1,568,009","43,293","43,293","608,989","608,989","522,043","522,043","631,760","631,760","78,081","78,081","43,537","43,537","41,470","41,470"
"        Less than $50,000","5,186","1.6%","31,765","2.0%","2,026","4.7%","9,298","1.5%","21,374","4.1%","11,959","1.9%","2,394","3.1%","2,217","5.1%","1,744","4.2%"
"        $50,000 to $99,999","3,267","1.0%","24,323","1.6%","650","1.5%","11,266","1.8%","15,284","2.9%","13,832","2.2%","1,490","1.9%","921","2.1%","851","2.1%"
"        $100,000 to $149,999","3,260","1.0%","14,902","1.0%","1,509","3.5%","7,125","1.2%","11,461","2.2%","6,187","1.0%","1,141","1.5%","901","2.1%","246","0.6%"
"        $150,000 to $199,999","3,035","0.9%","9,474","0.6%","1,452","3.4%","5,651","0.9%","11,418","2.2%","5,288","0.8%","1,255","1.6%","3,438","7.9%","572","1.4%"
"        $200,000 to $299,999","4,869","1.5%","31,208","2.0%","9,019","20.8%","10,754","1.8%","39,700","7.6%","15,393","2.4%","2,366","3.0%","11,043","25.4%","1,022","2.5%"
"        $300,000 to $499,999","16,554","5.1%","216,217","13.8%","21,197","49.0%","49,255","8.1%","197,673","37.9%","83,441","13.2%","19,600","25.1%","17,288","39.7%","14,613","35.2%"
"        $500,000 to $999,999","136,869","42.5%","849,848","54.2%","6,300","14.6%","329,375","54.1%","204,514","39.2%","349,436","55.3%","24,985","32.0%","6,644","15.3%","17,940","43.3%"
"        $1,000,000 or more","148,830","46.2%","390,272","24.9%","1,140","2.6%","186,265","30.6%","20,619","3.9%","146,224","23.1%","24,850","31.8%","1,085","2.5%","4,482","10.8%"
"        Median (dollars)","960,900","(X)","720,300","(X)","345,700","(X)","832,300","(X)","465,400","(X)","722,200","(X)","669,000","(X)","334,600","(X)","534,900","(X)"
"MORTGAGE STATUS","","","","","","","","","","","","","","","","","",""
"    Owner-occupied units","321,870","321,870","1,568,009","1,568,009","43,293","43,293","608,989","608,989","522,043","522,043","631,760","631,760","78,081","78,081","43,537","43,537","41,470","41,470"
"        Housing units with a mortgage","221,103","68.7%","1,081,214","69.0%","27,448","63.4%","408,228","67.0%","366,676","70.2%","440,570","69.7%","50,890","65.2%","27,411","63.0%","27,540","66.4%"
"        Housing units without a mortgage","100,767","31.3%","486,795","31.0%","15,845","36.6%","200,761","33.0%","155,367","29.8%","191,190","30.3%","27,191","34.8%","16,126","37.0%","13,930","33.6%"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage","221,103","221,103","1,081,214","1,081,214","27,448","27,448","408,228","408,228","366,676","366,676","440,570","440,570","50,890","50,890","27,411","27,411","27,540","27,540"
"        Less than $500","2,171","1.0%","6,681","0.6%","170","0.6%","2,234","0.5%","2,962","0.8%","2,259","0.5%","588","1.2%","318","1.2%","119","0.4%"
"        $500 to $999","4,002","1.8%","25,567","2.4%","2,914","10.6%","8,068","2.0%","17,425","4.8%","10,982","2.5%","1,341","2.6%","2,474","9.0%","930","3.4%"
"        $1,000 to $1,499","9,972","4.5%","85,697","7.9%","8,501","31.0%","24,804","6.1%","50,321","13.7%","30,522","6.9%","4,983","9.8%","6,960","25.4%","3,687","13.4%"
"        $1,500 to $1,999","18,859","8.5%","156,928","14.5%","7,199","26.2%","48,696","11.9%","82,348","22.5%","60,178","13.7%","9,820","19.3%","7,726","28.2%","5,686","20.6%"
"        $2,000 to $2,499","28,388","12.8%","186,270","17.2%","4,689","17.1%","61,375","15.0%","81,473","22.2%","81,959","18.6%","8,595","16.9%","3,689","13.5%","6,511","23.6%"
"        $2,500 to $2,999","30,569","13.8%","181,562","16.8%","1,691","6.2%","64,495","15.8%","59,279","16.2%","73,256","16.6%","6,554","12.9%","2,895","10.6%","4,090","14.9%"
"        $3,000 or more","127,142","57.5%","438,509","40.6%","2,284","8.3%","198,556","48.6%","72,868","19.9%","181,414","41.2%","19,009","37.4%","3,349","12.2%","6,517","23.7%"
"        Median (dollars)","3,287","(X)","2,719","(X)","1,643","(X)","2,957","(X)","2,186","(X)","2,735","(X)","2,509","(X)","1,727","(X)","2,257","(X)"
"    Housing units without a mortgage","100,767","100,767","486,795","486,795","15,845","15,845","200,761","200,761","155,367","155,367","191,190","191,190","27,191","27,191","16,126","16,126","13,930","13,930"
"        Less than $250","3,850","3.8%","25,590","5.3%","1,249","7.9%","10,204","5.1%","12,654","8.1%","11,088","5.8%","2,451","9.0%","1,113","6.9%","531","3.8%"
"        $250 to $399","6,955","6.9%","58,893","12.1%","4,200","26.5%","21,774","10.8%","22,398","14.4%","19,711","10.3%","3,201","11.8%","2,273","14.1%","1,192","8.6%"
"        $400 to $599","15,802","15.7%","107,329","22.0%","4,332","27.3%","40,049","19.9%","31,672","20.4%","36,481","19.1%","5,613","20.6%","4,818","29.9%","3,958","28.4%"
"        $600 to $799","20,237","20.1%","95,113","19.5%","3,047","19.2%","35,817","17.8%","31,284","20.1%","38,269","20.0%","4,476","16.5%","4,153","25.8%","2,865","20.6%"
"        $800 to $999","16,565","16.4%","67,989","14.0%","1,423","9.0%","31,536","15.7%","24,235","15.6%","26,572","13.9%","2,839","10.4%","2,110","13.1%","2,526","18.1%"
"        $1,000 or more","37,358","37.1%","131,881","27.1%","1,594","10.1%","61,381","30.6%","33,124","21.3%","59,069","30.9%","8,611","31.7%","1,659","10.3%","2,858","20.5%"
"        Median (dollars)","840","(X)","707","(X)","516","(X)","755","(X)","662","(X)","748","(X)","693","(X)","594","(X)","700","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","219,854","219,854","1,072,620","1,072,620","26,942","26,942","404,626","404,626","364,941","364,941","438,183","438,183","50,716","50,716","27,148","27,148","27,343","27,343"
"        Less than 20.0 percent","85,911","39.1%","338,270","31.5%","9,316","34.6%","140,807","34.8%","120,184","32.9%","144,729","33.0%","19,090","37.6%","11,243","41.4%","11,872","43.4%"
"        20.0 to 24.9 percent","34,900","15.9%","151,208","14.1%","3,796","14.1%","66,021","16.3%","61,422","16.8%","66,285","15.1%","7,407","14.6%","3,505","12.9%","4,923","18.0%"
"        25.0 to 29.9 percent","23,380","10.6%","115,481","10.8%","2,674","9.9%","47,651","11.8%","41,963","11.5%","54,235","12.4%","5,054","10.0%","3,403","12.5%","3,168","11.6%"
"        30.0 to 34.9 percent","17,843","8.1%","89,819","8.4%","2,005","7.4%","30,781","7.6%","27,830","7.6%","40,475","9.2%","4,434","8.7%","1,978","7.3%","2,343","8.6%"
"        35.0 percent or more","57,820","26.3%","377,842","35.2%","9,151","34.0%","119,366","29.5%","113,542","31.1%","132,459","30.2%","14,731","29.0%","7,019","25.9%","5,037","18.4%"
"        Not computed","1,249","(X)","8,594","(X)","506","(X)","3,602","(X)","1,735","(X)","2,387","(X)","174","(X)","263","(X)","197","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","99,253","99,253","476,886","476,886","15,116","15,116","197,326","197,326","152,627","152,627","187,339","187,339","26,945","26,945","16,079","16,079","13,799","13,799"
"        Less than 10.0 percent","47,693","48.1%","217,831","45.7%","6,670","44.1%","95,491","48.4%","61,511","40.3%","83,590","44.6%","13,209","49.0%","5,210","32.4%","7,019","50.9%"
"        10.0 to 14.9 percent","17,041","17.2%","81,095","17.0%","2,615","17.3%","31,851","16.1%","26,628","17.4%","32,760","17.5%","3,709","13.8%","3,467","21.6%","2,519","18.3%"
"        15.0 to 19.9 percent","9,700","9.8%","45,064","9.4%","1,220","8.1%","18,676","9.5%","18,212","11.9%","17,233","9.2%","2,291","8.5%","1,860","11.6%","1,152","8.3%"
"        20.0 to 24.9 percent","6,328","6.4%","28,890","6.1%","626","4.1%","12,387","6.3%","9,615","6.3%","11,977","6.4%","922","3.4%","1,737","10.8%","1,201","8.7%"
"        25.0 to 29.9 percent","3,233","3.3%","20,089","4.2%","1,169","7.7%","7,140","3.6%","7,179","4.7%","8,105","4.3%","1,338","5.0%","691","4.3%","295","2.1%"
"        30.0 to 34.9 percent","3,719","3.7%","13,186","2.8%","369","2.4%","4,567","2.3%","5,288","3.5%","5,384","2.9%","782","2.9%","1,253","7.8%","346","2.5%"
"        35.0 percent or more","11,539","11.6%","70,731","14.8%","2,447","16.2%","27,214","13.8%","24,194","15.9%","28,290","15.1%","4,694","17.4%","1,861","11.6%","1,267","9.2%"
"        Not computed","1,514","(X)","9,909","(X)","729","(X)","3,435","(X)","2,740","(X)","3,851","(X)","246","(X)","47","(X)","131","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","260,203","260,203","1,756,032","1,756,032","39,608","39,608","454,873","454,873","233,750","233,750","518,379","518,379","70,292","70,292","26,075","26,075","34,145","34,145"
"        Less than $500","15,419","5.9%","74,069","4.2%","3,070","7.8%","11,488","2.5%","9,371","4.0%","13,002","2.5%","2,664","3.8%","1,916","7.3%","2,247","6.6%"
"        $500 to $999","17,527","6.7%","156,282","8.9%","12,014","30.3%","13,145","2.9%","33,552","14.4%","25,728","5.0%","5,045","7.2%","8,770","33.6%","3,775","11.1%"
"        $1,000 to $1,499","38,834","14.9%","438,367","25.0%","14,381","36.3%","57,228","12.6%","62,392","26.7%","94,169","18.2%","13,871","19.7%","9,691","37.2%","8,983","26.3%"
"        $1,500 to $1,999","54,262","20.9%","496,700","28.3%","7,101","17.9%","124,616","27.4%","66,582","28.5%","154,666","29.8%","18,904","26.9%","3,737","14.3%","9,846","28.8%"
"        $2,000 to $2,499","57,155","22.0%","292,157","16.6%","2,793","7.1%","116,142","25.5%","38,335","16.4%","105,935","20.4%","13,238","18.8%","1,335","5.1%","5,140","15.1%"
"        $2,500 to $2,999","35,020","13.5%","135,145","7.7%","159","0.4%","60,501","13.3%","14,083","6.0%","56,505","10.9%","5,954","8.5%","286","1.1%","2,450","7.2%"
"        $3,000 or more","41,986","16.1%","163,312","9.3%","90","0.2%","71,753","15.8%","9,435","4.0%","68,374","13.2%","10,616","15.1%","340","1.3%","1,704","5.0%"
"        Median (dollars)","2,036","(X)","1,711","(X)","1,160","(X)","2,090","(X)","1,587","(X)","1,908","(X)","1,859","(X)","1,105","(X)","1,605","(X)"
"        No rent paid","7,107","(X)","51,546","(X)","2,066","(X)","13,331","(X)","9,880","(X)","12,757","(X)","2,177","(X)","1,894","(X)","1,229","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","256,368","256,368","1,709,000","1,709,000","38,323","38,323","444,588","444,588","228,433","228,433","507,838","507,838","69,076","69,076","25,629","25,629","32,435","32,435"
"        Less than 15.0 percent","31,030","12.1%","162,294","9.5%","4,641","12.1%","39,048","8.8%","20,454","9.0%","36,503","7.2%","5,983","8.7%","3,684","14.4%","2,013","6.2%"
"        15.0 to 19.9 percent","33,291","13.0%","172,866","10.1%","3,773","9.8%","47,363","10.7%","22,521","9.9%","53,159","10.5%","6,917","10.0%","2,531","9.9%","3,676","11.3%"
"        20.0 to 24.9 percent","32,166","12.5%","186,825","10.9%","6,137","16.0%","52,569","11.8%","27,851","12.2%","60,789","12.0%","9,037","13.1%","3,660","14.3%","3,434","10.6%"
"        25.0 to 29.9 percent","29,095","11.3%","181,438","10.6%","3,967","10.4%","56,218","12.6%","21,148","9.3%","64,702","12.7%","5,970","8.6%","2,646","10.3%","4,075","12.6%"
