"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        2 units","22,262","±2,184","3.8%","±0.4","96,961","±4,313","2.8%","±0.1","2,364","±792","2.8%","±0.9","17,209","±1,994","1.6%","±0.2","11,094","±1,628","1.4%","±0.2","22,125","±2,879","1.9%","±0.2","6,200","±1,272","4.0%","±0.8","3,492","±1,256","3.3%","±1.2","1,218","±596","1.6%","±0.8"
"        3 or 4 units","40,899","±3,114","6.9%","±0.5","193,608","±6,162","5.6%","±0.2","4,424","±1,097","5.3%","±1.3","77,584","±4,391","7.2%","±0.4","26,996","±2,079","3.3%","±0.3","61,362","±4,005","5.2%","±0.3","11,255","±1,773","7.3%","±1.1","6,545","±1,320","6.2%","±1.3","5,609","±1,202","7.3%","±1.6"
"        5 to 9 units","36,750","±3,207","6.2%","±0.5","266,791","±7,373","7.7%","±0.2","4,488","±997","5.3%","±1.2","72,400","±4,394","6.8%","±0.4","36,376","±3,251","4.4%","±0.4","98,093","±5,235","8.3%","±0.4","11,174","±1,923","7.2%","±1.2","4,171","±1,306","4.0%","±1.2","6,223","±1,298","8.1%","±1.7"
"        10 to 19 units","29,377","±2,144","5.0%","±0.4","269,349","±7,542","7.7%","±0.2","1,671","±732","2.0%","±0.9","61,286","±4,869","5.7%","±0.5","30,784","±3,013","3.8%","±0.4","74,520","±5,131","6.3%","±0.4","8,642","±1,433","5.6%","±0.9","4,019","±1,303","3.8%","±1.2","4,179","±1,192","5.4%","±1.6"
"        20 or more units","91,457","±3,786","15.4%","±0.6","643,451","±9,837","18.5%","±0.3","1,820","±550","2.2%","±0.7","134,940","±5,156","12.6%","±0.5","35,181","±2,723","4.3%","±0.3","165,066","±5,356","13.9%","±0.5","11,529","±1,638","7.5%","±1.1","4,749","±921","4.5%","±0.9","8,091","±1,226","10.5%","±1.6"
"        Mobile home","7,187","±1,029","1.2%","±0.2","56,067","±3,235","1.6%","±0.1","4,559","±1,010","5.4%","±1.2","33,393","±2,627","3.1%","±0.2","76,083","±3,443","9.3%","±0.4","44,326","±3,318","3.7%","±0.3","7,163","±1,304","4.6%","±0.8","5,463","±1,120","5.2%","±1.1","2,904","±811","3.8%","±1.1"
"        Boat, RV, van, etc.","664","±462","0.1%","±0.1","1,916","±786","0.1%","±0.1","68","±115","0.1%","±0.1","354","±269","0.0%","±0.1","1,585","±664","0.2%","±0.1","1,176","±541","0.1%","±0.1","75","±90","0.0%","±0.1","411","±413","0.4%","±0.4","223","±289","0.3%","±0.4"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","592,393","±898","592,393","(X)","3,482,681","±2,094","3,482,681","(X)","84,180","±636","84,180","(X)","1,072,078","±1,039","1,072,078","(X)","820,011","±945","820,011","(X)","1,187,693","±1,588","1,187,693","(X)","154,414","±788","154,414","(X)","105,251","±654","105,251","(X)","76,736","±611","76,736","(X)"
"        Built 2010 or later","7,941","±1,049","1.3%","±0.2","27,815","±2,538","0.8%","±0.1","844","±443","1.0%","±0.5","20,825","±2,452","1.9%","±0.2","16,245","±2,015","2.0%","±0.2","15,607","±1,818","1.3%","±0.2","669","±347","0.4%","±0.2","885","±434","0.8%","±0.4","1,894","±626","2.5%","±0.8"
"        Built 2000 to 2009","47,603","±2,645","8.0%","±0.4","206,933","±5,743","5.9%","±0.2","15,881","±1,609","18.9%","±1.9","90,676","±4,857","8.5%","±0.5","221,487","±5,631","27.0%","±0.7","145,688","±6,066","12.3%","±0.5","15,579","±1,931","10.1%","±1.3","7,670","±1,225","7.3%","±1.2","12,714","±1,240","16.6%","±1.6"
"        Built 1990 to 1999","52,599","±3,206","8.9%","±0.5","221,423","±5,663","6.4%","±0.2","13,521","±1,472","16.1%","±1.7","117,089","±4,724","10.9%","±0.4","128,233","±4,844","15.6%","±0.6","148,798","±5,944","12.5%","±0.5","11,481","±1,396","7.4%","±0.9","10,409","±1,611","9.9%","±1.5","12,081","±1,578","15.7%","±2.1"
"        Built 1980 to 1989","72,447","±3,926","12.2%","±0.7","409,966","±7,389","11.8%","±0.2","13,531","±1,830","16.1%","±2.2","168,524","±4,669","15.7%","±0.4","178,011","±5,920","21.7%","±0.7","237,032","±6,658","20.0%","±0.6","22,282","±2,146","14.4%","±1.4","15,760","±1,570","15.0%","±1.5","11,939","±1,471","15.6%","±1.9"
"        Built 1970 to 1979","92,828","±4,908","15.7%","±0.8","476,367","±10,307","13.7%","±0.3","14,525","±1,779","17.3%","±2.1","268,361","±7,831","25.0%","±0.7","124,351","±4,912","15.2%","±0.6","274,035","±5,868","23.1%","±0.5","28,854","±2,274","18.7%","±1.5","21,110","±2,108","20.1%","±2.0","14,446","±1,503","18.8%","±2.0"
"        Built 1960 to 1969","80,774","±4,354","13.6%","±0.7","517,758","±10,415","14.9%","±0.3","8,242","±1,313","9.8%","±1.5","212,657","±6,736","19.8%","±0.6","66,638","±3,417","8.1%","±0.4","140,669","±5,003","11.8%","±0.4","36,530","±2,424","23.7%","±1.6","16,404","±1,743","15.6%","±1.7","8,362","±1,190","10.9%","±1.5"
"        Built 1950 to 1959","80,445","±4,151","13.6%","±0.7","708,555","±9,886","20.3%","±0.3","7,603","±1,174","9.0%","±1.4","146,649","±4,574","13.7%","±0.4","47,533","±3,550","5.8%","±0.4","132,196","±4,796","11.1%","±0.4","20,635","±1,968","13.4%","±1.3","11,690","±1,805","11.1%","±1.7","8,902","±1,209","11.6%","±1.6"
"        Built 1940 to 1949","45,783","±3,123","7.7%","±0.5","382,332","±8,247","11.0%","±0.2","5,068","±959","6.0%","±1.1","20,289","±2,287","1.9%","±0.2","19,081","±2,158","2.3%","±0.3","40,327","±3,002","3.4%","±0.3","7,943","±1,560","5.1%","±1.0","9,896","±1,735","9.4%","±1.6","2,275","±649","3.0%","±0.8"
"        Built 1939 or earlier","111,973","±3,672","18.9%","±0.6","531,532","±9,585","15.3%","±0.3","4,965","±1,100","5.9%","±1.3","27,008","±2,282","2.5%","±0.2","18,432","±1,903","2.2%","±0.2","53,341","±3,190","4.5%","±0.3","10,441","±1,387","6.8%","±0.9","11,427","±1,711","10.9%","±1.6","4,123","±991","5.4%","±1.3"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","592,393","±898","592,393","(X)","3,482,681","±2,094","3,482,681","(X)","84,180","±636","84,180","(X)","1,072,078","±1,039","1,072,078","(X)","820,011","±945","820,011","(X)","1,187,693","±1,588","1,187,693","(X)","154,414","±788","154,414","(X)","105,251","±654","105,251","(X)","76,736","±611","76,736","(X)"
"        1 room","18,183","±2,039","3.1%","±0.3","192,714","±6,550","5.5%","±0.2","931","±440","1.1%","±0.5","19,324","±2,889","1.8%","±0.3","13,063","±2,012","1.6%","±0.2","25,273","±2,885","2.1%","±0.2","3,738","±1,118","2.4%","±0.7","3,392","±1,104","3.2%","±1.1","1,199","±569","1.6%","±0.7"
"        2 rooms","32,986","±2,249","5.6%","±0.4","197,346","±5,699","5.7%","±0.2","1,168","±600","1.4%","±0.7","34,340","±2,988","3.2%","±0.3","14,783","±2,019","1.8%","±0.2","46,783","±3,375","3.9%","±0.3","7,630","±1,364","4.9%","±0.9","5,400","±1,272","5.1%","±1.2","3,443","±848","4.5%","±1.1"
"        3 rooms","73,234","±3,586","12.4%","±0.6","580,274","±10,930","16.7%","±0.3","4,886","±949","5.8%","±1.1","130,554","±5,094","12.2%","±0.5","66,244","±3,723","8.1%","±0.5","151,929","±5,358","12.8%","±0.5","20,966","±2,370","13.6%","±1.5","11,121","±1,607","10.6%","±1.5","11,149","±1,750","14.5%","±2.3"
"        4 rooms","119,615","±4,775","20.2%","±0.8","743,254","±11,186","21.3%","±0.3","14,540","±1,707","17.3%","±2.0","219,573","±6,138","20.5%","±0.6","150,467","±5,811","18.3%","±0.7","245,135","±8,477","20.6%","±0.7","30,602","±2,621","19.8%","±1.7","24,177","±2,420","23.0%","±2.3","14,293","±1,751","18.6%","±2.3"
"        5 rooms","115,297","±4,260","19.5%","±0.7","642,102","±9,871","18.4%","±0.3","25,125","±1,899","29.8%","±2.2","195,483","±6,071","18.2%","±0.6","185,656","±5,401","22.6%","±0.7","230,490","±6,849","19.4%","±0.6","32,109","±2,706","20.8%","±1.8","21,527","±2,081","20.5%","±2.0","15,835","±1,624","20.6%","±2.1"
"        6 rooms","93,203","±4,162","15.7%","±0.7","488,064","±9,115","14.0%","±0.3","17,968","±1,855","21.3%","±2.2","181,404","±6,597","16.9%","±0.6","149,917","±4,889","18.3%","±0.6","180,604","±6,281","15.2%","±0.5","27,072","±2,293","17.5%","±1.5","17,261","±1,994","16.4%","±1.9","12,388","±1,400","16.1%","±1.8"
"        7 rooms","63,139","±3,015","10.7%","±0.5","300,798","±7,379","8.6%","±0.2","9,871","±1,180","11.7%","±1.4","124,361","±5,419","11.6%","±0.5","105,851","±4,493","12.9%","±0.5","126,644","±5,458","10.7%","±0.5","15,335","±1,585","9.9%","±1.0","9,433","±1,416","9.0%","±1.3","8,841","±1,164","11.5%","±1.5"
"        8 rooms","37,028","±2,576","6.3%","±0.4","170,827","±5,323","4.9%","±0.2","5,051","±1,269","6.0%","±1.5","81,779","±4,475","7.6%","±0.4","68,947","±3,783","8.4%","±0.5","79,548","±3,959","6.7%","±0.3","8,026","±977","5.2%","±0.6","6,218","±1,066","5.9%","±1.0","3,881","±958","5.1%","±1.2"
"        9 rooms or more","39,708","±2,425","6.7%","±0.4","167,302","±5,253","4.8%","±0.2","4,640","±1,041","5.5%","±1.2","85,260","±3,960","8.0%","±0.4","65,083","±3,498","7.9%","±0.4","101,287","±4,765","8.5%","±0.4","8,936","±1,180","5.8%","±0.8","6,722","±1,115","6.4%","±1.1","5,707","±777","7.4%","±1.0"
"        Median rooms","5.0","±0.2","(X)","(X)","4.5","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","5.2","±0.1","(X)","(X)","5.4","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)","4.9","±0.2","(X)","(X)","4.9","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","592,393","±898","592,393","(X)","3,482,681","±2,094","3,482,681","(X)","84,180","±636","84,180","(X)","1,072,078","±1,039","1,072,078","(X)","820,011","±945","820,011","(X)","1,187,693","±1,588","1,187,693","(X)","154,414","±788","154,414","(X)","105,251","±654","105,251","(X)","76,736","±611","76,736","(X)"
"        No bedroom","21,841","±2,084","3.7%","±0.4","216,867","±6,419","6.2%","±0.2","1,285","±502","1.5%","±0.6","21,775","±2,946","2.0%","±0.3","14,122","±2,045","1.7%","±0.2","29,714","±2,866","2.5%","±0.2","3,994","±1,093","2.6%","±0.7","3,522","±1,123","3.3%","±1.1","1,511","±646","2.0%","±0.8"
"        1 bedroom","95,891","±3,364","16.2%","±0.6","696,570","±11,430","20.0%","±0.3","5,211","±1,016","6.2%","±1.2","140,010","±5,358","13.1%","±0.5","63,718","±3,197","7.8%","±0.4","165,928","±5,421","14.0%","±0.5","23,219","±2,238","15.0%","±1.5","11,999","±1,793","11.4%","±1.7","10,998","±1,494","14.3%","±1.9"
"        2 bedrooms","176,138","±5,660","29.7%","±1.0","1,062,078","±12,478","30.5%","±0.4","19,465","±1,982","23.1%","±2.3","304,822","±6,907","28.4%","±0.6","223,447","±6,502","27.2%","±0.8","373,100","±9,152","31.4%","±0.8","42,230","±2,838","27.3%","±1.8","35,671","±2,619","33.9%","±2.4","20,798","±1,970","27.1%","±2.6"
"        3 bedrooms","176,666","±5,078","29.8%","±0.9","973,179","±10,535","27.9%","±0.3","38,197","±2,228","45.4%","±2.7","319,666","±7,178","29.8%","±0.7","283,440","±6,529","34.6%","±0.8","357,695","±8,240","30.1%","±0.7","54,052","±2,966","35.0%","±1.9","37,784","±2,119","35.9%","±2.0","27,779","±2,106","36.2%","±2.7"
"        4 bedrooms","94,531","±4,019","16.0%","±0.7","416,512","±8,464","12.0%","±0.2","16,792","±1,967","19.9%","±2.3","223,905","±5,892","20.9%","±0.5","175,781","±6,074","21.4%","±0.7","204,423","±6,304","17.2%","±0.5","25,569","±2,408","16.6%","±1.5","12,683","±1,439","12.1%","±1.4","12,382","±1,292","16.1%","±1.7"
"        5 or more bedrooms","27,326","±2,136","4.6%","±0.4","117,475","±4,555","3.4%","±0.1","3,230","±1,083","3.8%","±1.3","61,900","±3,528","5.8%","±0.3","59,503","±3,529","7.3%","±0.4","56,833","±3,424","4.8%","±0.3","5,350","±1,117","3.5%","±0.7","3,592","±863","3.4%","±0.8","3,268","±811","4.3%","±1.1"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","563,601","±3,221","563,601","(X)","3,269,112","±9,173","3,269,112","(X)","79,255","±1,242","79,255","(X)","1,018,862","±4,601","1,018,862","(X)","700,584","±5,496","700,584","(X)","1,100,858","±5,824","1,100,858","(X)","142,912","±2,222","142,912","(X)","96,127","±1,984","96,127","(X)","72,228","±1,198","72,228","(X)"
"        Owner-occupied","292,164","±4,935","51.8%","±0.9","1,486,800","±12,895","45.5%","±0.4","39,437","±2,256","49.8%","±2.8","584,974","±7,380","57.4%","±0.7","447,219","±7,125","63.8%","±0.9","574,323","±8,467","52.2%","±0.7","74,653","±2,805","52.2%","±1.8","54,393","±2,317","56.6%","±2.3","36,936","±1,832","51.1%","±2.4"
"        Renter-occupied","271,437","±5,231","48.2%","±0.9","1,782,312","±13,796","54.5%","±0.4","39,818","±2,275","50.2%","±2.8","433,888","±7,212","42.6%","±0.7","253,365","±7,106","36.2%","±0.9","526,535","±8,844","47.8%","±0.7","68,259","±2,762","47.8%","±1.8","41,734","±2,509","43.4%","±2.3","35,292","±1,857","48.9%","±2.4"
"    Average household size of owner-occupied unit","2.88","±0.03","(X)","(X)","3.20","±0.02","(X)","(X)","3.15","±0.11","(X)","(X)","3.01","±0.03","(X)","(X)","3.21","±0.03","(X)","(X)","2.90","±0.03","(X)","(X)","2.76","±0.07","(X)","(X)","2.61","±0.09","(X)","(X)","2.76","±0.11","(X)","(X)"
"    Average household size of renter-occupied unit","2.71","±0.04","(X)","(X)","2.91","±0.02","(X)","(X)","3.41","±0.10","(X)","(X)","3.09","±0.04","(X)","(X)","3.39","±0.06","(X)","(X)","2.86","±0.03","(X)","(X)","3.15","±0.10","(X)","(X)","2.82","±0.14","(X)","(X)","2.76","±0.11","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","563,601","±3,221","563,601","(X)","3,269,112","±9,173","3,269,112","(X)","79,255","±1,242","79,255","(X)","1,018,862","±4,601","1,018,862","(X)","700,584","±5,496","700,584","(X)","1,100,858","±5,824","1,100,858","(X)","142,912","±2,222","142,912","(X)","96,127","±1,984","96,127","(X)","72,228","±1,198","72,228","(X)"
"        Moved in 2010 or later","242,524","±5,413","43.0%","±0.9","1,321,153","±14,336","40.4%","±0.4","36,656","±2,324","46.3%","±2.7","417,730","±7,046","41.0%","±0.6","307,079","±7,463","43.8%","±0.9","501,561","±7,546","45.6%","±0.7","58,132","±3,157","40.7%","±2.1","35,344","±2,309","36.8%","±2.2","34,597","±1,881","47.9%","±2.3"
"        Moved in 2000 to 2009","162,124","±4,954","28.8%","±0.9","961,884","±12,250","29.4%","±0.4","24,879","±2,066","31.4%","±2.6","302,226","±8,009","29.7%","±0.8","248,334","±5,951","35.4%","±0.8","322,978","±6,576","29.3%","±0.6","40,824","±3,117","28.6%","±2.1","28,418","±2,366","29.6%","±2.3","20,396","±1,580","28.2%","±2.2"
"        Moved in 1990 to 1999","73,660","±3,189","13.1%","±0.6","498,869","±8,618","15.3%","±0.3","9,219","±1,192","11.6%","±1.5","157,317","±5,839","15.4%","±0.6","87,930","±3,434","12.6%","±0.5","147,737","±4,721","13.4%","±0.4","21,215","±1,958","14.8%","±1.4","17,134","±1,642","17.8%","±1.7","8,920","±1,137","12.3%","±1.6"
"        Moved in 1980 to 1989","40,400","±2,377","7.2%","±0.4","228,378","±6,036","7.0%","±0.2","3,164","±732","4.0%","±0.9","70,062","±2,895","6.9%","±0.3","34,761","±2,740","5.0%","±0.4","67,247","±3,151","6.1%","±0.3","11,636","±1,282","8.1%","±0.9","8,770","±1,073","9.1%","±1.1","3,635","±803","5.0%","±1.1"
"        Moved in 1970 to 1979","26,252","±1,950","4.7%","±0.3","158,036","±5,327","4.8%","±0.2","3,111","±707","3.9%","±0.9","45,682","±2,421","4.5%","±0.2","15,252","±1,368","2.2%","±0.2","39,973","±2,487","3.6%","±0.2","6,819","±1,093","4.8%","±0.8","4,741","±812","4.9%","±0.8","2,898","±650","4.0%","±0.9"
"        Moved in 1969 or earlier","18,641","±1,567","3.3%","±0.3","100,792","±4,004","3.1%","±0.1","2,226","±543","2.8%","±0.7","25,845","±2,097","2.5%","±0.2","7,228","±998","1.0%","±0.1","21,362","±1,714","1.9%","±0.2","4,286","±786","3.0%","±0.5","1,720","±577","1.8%","±0.6","1,782","±608","2.5%","±0.8"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","563,601","±3,221","563,601","(X)","3,269,112","±9,173","3,269,112","(X)","79,255","±1,242","79,255","(X)","1,018,862","±4,601","1,018,862","(X)","700,584","±5,496","700,584","(X)","1,100,858","±5,824","1,100,858","(X)","142,912","±2,222","142,912","(X)","96,127","±1,984","96,127","(X)","72,228","±1,198","72,228","(X)"
"        No vehicles available","55,879","±2,794","9.9%","±0.5","315,640","±7,270","9.7%","±0.2","5,986","±948","7.6%","±1.2","44,200","±2,894","4.3%","±0.3","34,269","±1,945","4.9%","±0.3","63,093","±4,533","5.7%","±0.4","8,531","±1,385","6.0%","±1.0","5,374","±1,334","5.6%","±1.4","4,082","±834","5.7%","±1.2"
"        1 vehicle available","182,326","±4,685","32.4%","±0.8","1,138,391","±16,150","34.8%","±0.5","23,478","±2,053","29.6%","±2.5","285,317","±7,906","28.0%","±0.7","211,307","±6,577","30.2%","±0.9","346,009","±8,304","31.4%","±0.8","45,988","±2,732","32.2%","±1.9","28,764","±2,432","29.9%","±2.4","25,792","±2,024","35.7%","±2.8"
"        2 vehicles available","207,533","±5,627","36.8%","±1.0","1,145,598","±13,084","35.0%","±0.4","30,328","±2,279","38.3%","±2.9","425,292","±8,591","41.7%","±0.8","276,972","±6,285","39.5%","±0.9","443,158","±8,593","40.3%","±0.7","53,691","±2,905","37.6%","±2.0","36,626","±2,545","38.1%","±2.5","27,499","±2,253","38.1%","±3.0"
"        3 or more vehicles available","117,863","±4,134","20.9%","±0.7","669,483","±9,748","20.5%","±0.3","19,463","±1,968","24.6%","±2.4","264,053","±7,120","25.9%","±0.7","178,036","±5,822","25.4%","±0.8","248,598","±6,821","22.6%","±0.6","34,702","±2,871","24.3%","±1.9","25,363","±1,811","26.4%","±1.9","14,855","±1,294","20.6%","±1.7"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","563,601","±3,221","563,601","(X)","3,269,112","±9,173","3,269,112","(X)","79,255","±1,242","79,255","(X)","1,018,862","±4,601","1,018,862","(X)","700,584","±5,496","700,584","(X)","1,100,858","±5,824","1,100,858","(X)","142,912","±2,222","142,912","(X)","96,127","±1,984","96,127","(X)","72,228","±1,198","72,228","(X)"
"        Utility gas","403,548","±5,117","71.6%","±0.7","2,165,781","±13,653","66.2%","±0.4","41,559","±2,034","52.4%","±2.5","704,732","±8,831","69.2%","±0.8","527,051","±6,169","75.2%","±0.8","643,660","±9,384","58.5%","±0.7","108,565","±2,903","76.0%","±1.8","57,706","±2,744","60.0%","±2.5","43,871","±2,247","60.7%","±2.9"
"        Bottled, tank, or LP gas","7,432","±1,099","1.3%","±0.2","44,138","±2,507","1.4%","±0.1","3,528","±716","4.5%","±0.9","12,351","±1,586","1.2%","±0.2","22,706","±2,120","3.2%","±0.3","33,902","±2,334","3.1%","±0.2","2,800","±552","2.0%","±0.4","8,908","±1,187","9.3%","±1.3","2,014","±610","2.8%","±0.8"
"        Electricity","136,470","±4,019","24.2%","±0.7","825,748","±11,953","25.3%","±0.4","31,436","±2,232","39.7%","±2.7","244,180","±7,783","24.0%","±0.7","132,228","±5,267","18.9%","±0.7","354,908","±7,650","32.2%","±0.7","23,896","±2,103","16.7%","±1.4","21,317","±1,968","22.2%","±1.9","23,690","±2,075","32.8%","±2.9"
"        Fuel oil, kerosene, etc.","288","±232","0.1%","±0.1","1,648","±452","0.1%","±0.1","17","±29","0.0%","±0.1","302","±203","0.0%","±0.1","305","±198","0.0%","±0.1","612","±321","0.1%","±0.1","126","±169","0.1%","±0.1","228","±154","0.2%","±0.2","0","±200","0.0%","±0.2"
"        Coal or coke","104","±157","0.0%","±0.1","130","±153","0.0%","±0.1","0","±200","0.0%","±0.2","28","±46","0.0%","±0.1","120","±200","0.0%","±0.1","0","±200","0.0%","±0.1","0","±200","0.0%","±0.1","0","±200","0.0%","±0.2","46","±79","0.1%","±0.1"
"        Wood","2,164","±707","0.4%","±0.1","7,221","±1,157","0.2%","±0.1","1,300","±435","1.6%","±0.6","2,465","±716","0.2%","±0.1","4,021","±1,079","0.6%","±0.2","12,555","±1,784","1.1%","±0.2","1,000","±376","0.7%","±0.3","5,815","±1,151","6.0%","±1.2","978","±395","1.4%","±0.5"
"        Solar energy","1,317","±445","0.2%","±0.1","4,559","±902","0.1%","±0.1","0","±200","0.0%","±0.2","1,199","±356","0.1%","±0.1","1,472","±453","0.2%","±0.1","4,222","±815","0.4%","±0.1","511","±320","0.4%","±0.2","214","±198","0.2%","±0.2","626","±280","0.9%","±0.4"
"        Other fuel","1,347","±509","0.2%","±0.1","3,995","±853","0.1%","±0.1","857","±362","1.1%","±0.5","802","±496","0.1%","±0.1","1,883","±816","0.3%","±0.1","4,436","±1,035","0.4%","±0.1","366","±284","0.3%","±0.2","505","±276","0.5%","±0.3","528","±469","0.7%","±0.6"
"        No fuel used","10,931","±1,613","1.9%","±0.3","215,892","±6,382","6.6%","±0.2","558","±342","0.7%","±0.4","52,803","±3,729","5.2%","±0.4","10,798","±1,519","1.5%","±0.2","46,563","±3,732","4.2%","±0.3","5,648","±1,425","4.0%","±1.0","1,434","±616","1.5%","±0.6","475","±290","0.7%","±0.4"
