"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Estimate Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Estimate Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Estimate Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Estimate Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Estimate Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Estimate Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Estimate Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Estimate Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Estimate Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"    Built 1960 to 1969","82,771","±4,319","14.2%","±0.7","532,017","±10,533","15.4%","±0.3","9,111","±1,238","10.9%","±1.5","209,571","±5,983","20.0%","±0.6","64,158","±3,909","8.0%","±0.5","150,404","±5,683","12.9%","±0.5","32,512","±2,630","21.3%","±1.7","15,838","±2,188","15.2%","±2.0","9,409","±1,600","12.5%","±2.1"
"    Built 1950 to 1959","77,911","±4,108","13.4%","±0.7","709,433","±12,440","20.6%","±0.4","8,505","±1,172","10.2%","±1.4","142,071","±4,610","13.5%","±0.4","49,418","±3,101","6.2%","±0.4","129,747","±4,558","11.1%","±0.4","19,459","±2,085","12.7%","±1.4","11,874","±1,531","11.4%","±1.4","7,884","±1,309","10.5%","±1.7"
"    Built 1940 to 1949","46,015","±2,982","7.9%","±0.5","391,554","±8,854","11.4%","±0.3","4,508","±1,125","5.4%","±1.4","24,356","±2,791","2.3%","±0.3","17,217","±2,115","2.1%","±0.3","46,129","±3,421","4.0%","±0.3","6,991","±1,340","4.6%","±0.9","8,358","±1,548","8.0%","±1.4","2,673","±850","3.6%","±1.1"
"    Built 1939 or earlier","121,394","±4,642","20.8%","±0.8","507,768","±9,459","14.7%","±0.3","5,597","±1,140","6.7%","±1.4","28,141","±2,577","2.7%","±0.2","14,933","±1,794","1.9%","±0.2","49,805","±3,611","4.3%","±0.3","13,494","±1,799","8.8%","±1.2","13,624","±1,923","13.0%","±1.9","5,483","±1,217","7.3%","±1.5"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","582,628","±2,724","582,628","(X)","3,444,870","±4,461","3,444,870","(X)","83,690","±632","83,690","(X)","1,049,079","±2,589","1,049,079","(X)","801,324","±1,028","801,324","(X)","1,165,043","±5,312","1,165,043","(X)","152,819","±1,544","152,819","(X)","104,444","±3,942","104,444","(X)","75,095","±3,857","75,095","(X)"
"    1 room","19,427","±3,218","3.3%","±0.6","200,096","±6,874","5.8%","±0.2","1,287","±579","1.5%","±0.7","24,115","±2,591","2.3%","±0.2","11,318","±2,132","1.4%","±0.3","39,595","±3,606","3.4%","±0.3","4,603","±1,421","3.0%","±0.9","3,053","±958","2.9%","±0.9","1,613","±790","2.1%","±1.1"
"    2 rooms","19,958","±1,812","3.4%","±0.3","179,484","±6,662","5.2%","±0.2","1,092","±524","1.3%","±0.6","41,645","±3,153","4.0%","±0.3","15,456","±1,954","1.9%","±0.2","41,878","±3,404","3.6%","±0.3","5,091","±959","3.3%","±0.6","4,511","±1,094","4.3%","±1.0","2,201","±698","2.9%","±0.9"
"    3 rooms","79,285","±4,101","13.6%","±0.7","553,517","±12,818","16.1%","±0.4","5,913","±1,237","7.1%","±1.5","132,151","±5,373","12.6%","±0.5","56,029","±3,934","7.0%","±0.5","137,508","±5,876","11.8%","±0.5","16,703","±1,815","10.9%","±1.2","10,597","±1,953","10.1%","±1.8","7,055","±1,566","9.4%","±1.9"
"    4 rooms","126,499","±5,251","21.7%","±0.9","714,089","±12,570","20.7%","±0.4","15,690","±1,835","18.7%","±2.2","206,382","±7,235","19.7%","±0.7","146,424","±6,128","18.3%","±0.8","223,949","±7,232","19.2%","±0.6","33,440","±3,151","21.9%","±2.0","22,622","±2,130","21.7%","±1.9","14,471","±2,059","19.3%","±2.4"
"    5 rooms","107,037","±4,411","18.4%","±0.8","655,980","±13,333","19.0%","±0.4","25,813","±2,453","30.8%","±2.9","191,700","±5,902","18.3%","±0.6","175,261","±7,371","21.9%","±0.9","229,151","±6,585","19.7%","±0.6","29,938","±2,703","19.6%","±1.8","24,673","±2,204","23.6%","±2.1","16,696","±1,942","22.2%","±2.3"
"    6 rooms","88,219","±4,126","15.1%","±0.7","494,507","±10,656","14.4%","±0.3","14,845","±1,523","17.7%","±1.8","165,054","±6,357","15.7%","±0.6","156,520","±5,226","19.5%","±0.7","181,537","±6,058","15.6%","±0.5","26,028","±2,464","17.0%","±1.6","19,241","±2,195","18.4%","±1.9","16,279","±1,678","21.7%","±2.0"
"    7 rooms","66,593","±4,266","11.4%","±0.7","308,136","±8,547","8.9%","±0.3","9,647","±1,608","11.5%","±1.9","124,464","±5,626","11.9%","±0.5","109,936","±5,295","13.7%","±0.7","135,186","±5,672","11.6%","±0.5","17,473","±2,071","11.4%","±1.3","9,480","±1,420","9.1%","±1.3","7,337","±1,189","9.8%","±1.4"
"    8 rooms","38,255","±2,601","6.6%","±0.4","171,215","±5,542","5.0%","±0.2","5,002","±1,067","6.0%","±1.3","81,795","±4,396","7.8%","±0.4","64,363","±3,819","8.0%","±0.5","89,175","±4,391","7.7%","±0.4","9,853","±1,319","6.4%","±0.9","4,812","±877","4.6%","±0.8","4,259","±884","5.7%","±1.2"
"    9 rooms or more","37,355","±2,341","6.4%","±0.4","167,846","±5,528","4.9%","±0.2","4,401","±1,068","5.3%","±1.3","81,773","±4,117","7.8%","±0.4","66,017","±3,656","8.2%","±0.5","87,064","±4,487","7.5%","±0.4","9,690","±1,499","6.3%","±1.0","5,455","±1,001","5.2%","±0.9","5,184","±911","6.9%","±1.4"
"    Median rooms","4.9","±0.1","(X)","(X)","4.6","±0.1","(X)","(X)","5.2","±0.1","(X)","(X)","5.1","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.1","±0.1","(X)","(X)","5.1","±0.2","(X)","(X)","5.0","±0.2","(X)","(X)","5.2","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","582,628","±2,724","582,628","(X)","3,444,870","±4,461","3,444,870","(X)","83,690","±632","83,690","(X)","1,049,079","±2,589","1,049,079","(X)","801,324","±1,028","801,324","(X)","1,165,043","±5,312","1,165,043","(X)","152,819","±1,544","152,819","(X)","104,444","±3,942","104,444","(X)","75,095","±3,857","75,095","(X)"
"    No bedroom","22,057","±3,258","3.8%","±0.6","227,656","±7,513","6.6%","±0.2","1,287","±579","1.5%","±0.7","26,426","±2,607","2.5%","±0.2","12,783","±2,153","1.6%","±0.3","42,535","±3,533","3.7%","±0.3","4,999","±1,459","3.3%","±1.0","3,770","±966","3.6%","±0.9","1,869","±837","2.5%","±1.1"
"    1 bedroom","101,552","±4,049","17.4%","±0.7","692,501","±13,041","20.1%","±0.4","7,088","±1,347","8.5%","±1.6","139,068","±5,417","13.3%","±0.5","62,912","±3,609","7.9%","±0.5","164,724","±6,800","14.1%","±0.6","21,067","±1,964","13.8%","±1.3","14,636","±2,141","14.0%","±1.9","7,851","±1,598","10.5%","±1.9"
"    2 bedrooms","173,678","±5,995","29.8%","±1.0","1,033,136","±15,291","30.0%","±0.4","18,245","±1,784","21.8%","±2.1","293,634","±7,136","28.0%","±0.7","220,308","±5,909","27.5%","±0.7","353,114","±8,035","30.3%","±0.7","44,425","±3,282","29.1%","±2.1","34,688","±2,548","33.2%","±2.4","19,160","±2,193","25.5%","±2.6"
"    3 bedrooms","175,048","±5,151","30.0%","±0.9","963,148","±13,380","28.0%","±0.4","37,921","±2,336","45.3%","±2.8","316,410","±7,266","30.2%","±0.7","274,652","±6,569","34.3%","±0.8","361,214","±7,746","31.0%","±0.7","53,141","±3,210","34.8%","±2.1","35,697","±2,686","34.2%","±2.4","31,108","±2,714","41.4%","±3.0"
"    4 bedrooms","86,879","±4,365","14.9%","±0.7","405,745","±9,480","11.8%","±0.3","15,567","±1,777","18.6%","±2.1","217,114","±5,518","20.7%","±0.5","172,560","±5,582","21.5%","±0.7","196,649","±6,956","16.9%","±0.6","23,920","±2,031","15.7%","±1.3","13,131","±1,939","12.6%","±1.7","11,734","±1,613","15.6%","±1.9"
"    5 or more bedrooms","23,414","±2,109","4.0%","±0.4","122,684","±6,390","3.6%","±0.2","3,582","±891","4.3%","±1.1","56,427","±3,611","5.4%","±0.3","58,109","±3,503","7.3%","±0.4","46,807","±3,271","4.0%","±0.3","5,267","±1,176","3.4%","±0.8","2,522","±894","2.4%","±0.9","3,373","±775","4.5%","±1.1"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","537,410","±4,196","537,410","(X)","3,202,353","±9,199","3,202,353","(X)","73,885","±2,088","73,885","(X)","986,297","±5,154","986,297","(X)","670,075","±6,112","670,075","(X)","1,061,210","±7,516","1,061,210","(X)","140,842","±2,337","140,842","(X)","91,264","±4,582","91,264","(X)","68,585","±4,168","68,585","(X)"
"    Owner-occupied","286,780","±5,237","53.4%","±1.0","1,501,448","±14,839","46.9%","±0.4","40,334","±2,510","54.6%","±3.1","584,314","±7,164","59.2%","±0.7","458,273","±6,812","68.4%","±0.9","572,400","±8,785","53.9%","±0.7","75,146","±2,601","53.4%","±1.8","54,209","±3,225","59.4%","±3.0","37,863","±2,183","55.2%","±3.2"
"    Renter-occupied","250,630","±5,892","46.6%","±1.0","1,700,905","±14,777","53.1%","±0.4","33,551","±2,467","45.4%","±3.1","401,983","±7,249","40.8%","±0.7","211,802","±6,293","31.6%","±0.9","488,810","±8,262","46.1%","±0.7","65,696","±2,952","46.6%","±1.8","37,055","±3,689","40.6%","±3.0","30,722","±3,524","44.8%","±3.2"
"    Average household size of owner-occupied unit","2.94","±0.04","(X)","(X)","3.20","±0.02","(X)","(X)","3.36","±0.16","(X)","(X)","3.01","±0.02","(X)","(X)","3.18","±0.04","(X)","(X)","2.84","±0.03","(X)","(X)","2.76","±0.07","(X)","(X)","2.62","±0.10","(X)","(X)","2.68","±0.11","(X)","(X)"
"    Average household size of renter-occupied unit","2.56","±0.04","(X)","(X)","2.84","±0.02","(X)","(X)","3.52","±0.18","(X)","(X)","3.04","±0.04","(X)","(X)","3.37","±0.07","(X)","(X)","2.81","±0.04","(X)","(X)","3.05","±0.11","(X)","(X)","2.68","±0.13","(X)","(X)","2.70","±0.17","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","537,410","±4,196","537,410","(X)","3,202,353","±9,199","3,202,353","(X)","73,885","±2,088","73,885","(X)","986,297","±5,154","986,297","(X)","670,075","±6,112","670,075","(X)","1,061,210","±7,516","1,061,210","(X)","140,842","±2,337","140,842","(X)","91,264","±4,582","91,264","(X)","68,585","±4,168","68,585","(X)"
"    Moved in 2005 or later","252,949","±5,665","47.1%","±0.9","1,411,130","±12,742","44.1%","±0.4","38,431","±2,301","52.0%","±2.6","438,087","±7,335","44.4%","±0.7","339,989","±8,220","50.7%","±1.1","553,924","±8,922","52.2%","±0.7","66,132","±2,807","47.0%","±1.8","36,740","±4,240","40.3%","±3.2","36,695","±4,223","53.5%","±3.6"
"    Moved in 2000 to 2004","91,140","±4,482","17.0%","±0.8","597,259","±12,059","18.7%","±0.4","10,552","±1,534","14.3%","±2.0","185,515","±6,478","18.8%","±0.7","142,367","±5,852","21.2%","±0.9","177,928","±7,149","16.8%","±0.7","22,704","±2,176","16.1%","±1.5","16,498","±1,846","18.1%","±2.2","11,084","±1,336","16.2%","±2.1"
"    Moved in 1990 to 1999","95,101","±4,609","17.7%","±0.9","611,947","±9,469","19.1%","±0.3","12,969","±1,496","17.6%","±2.1","188,201","±6,005","19.1%","±0.6","116,304","±5,302","17.4%","±0.8","169,811","±4,483","16.0%","±0.4","23,904","±2,355","17.0%","±1.7","17,370","±2,034","19.0%","±2.2","10,044","±1,411","14.6%","±2.1"
"    Moved in 1980 to 1989","46,087","±2,734","8.6%","±0.5","266,811","±6,696","8.3%","±0.2","5,998","±1,092","8.1%","±1.4","86,227","±4,237","8.7%","±0.4","46,608","±2,936","7.0%","±0.4","81,249","±4,931","7.7%","±0.5","13,169","±1,385","9.4%","±1.0","10,787","±1,437","11.8%","±1.5","5,211","±866","7.6%","±1.3"
"    Moved in 1970 to 1979","30,336","±2,344","5.6%","±0.4","183,216","±5,942","5.7%","±0.2","3,698","±789","5.0%","±1.0","57,496","±3,220","5.8%","±0.3","17,111","±1,976","2.6%","±0.3","51,071","±2,829","4.8%","±0.3","8,548","±1,015","6.1%","±0.7","7,411","±1,024","8.1%","±1.1","3,279","±773","4.8%","±1.1"
"    Moved in 1969 or earlier","21,797","±1,693","4.1%","±0.3","131,990","±4,904","4.1%","±0.2","2,237","±530","3.0%","±0.7","30,771","±2,003","3.1%","±0.2","7,696","±1,142","1.1%","±0.2","27,227","±2,503","2.6%","±0.2","6,385","±923","4.5%","±0.7","2,458","±715","2.7%","±0.8","2,272","±593","3.3%","±0.9"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","537,410","±4,196","537,410","(X)","3,202,353","±9,199","3,202,353","(X)","73,885","±2,088","73,885","(X)","986,297","±5,154","986,297","(X)","670,075","±6,112","670,075","(X)","1,061,210","±7,516","1,061,210","(X)","140,842","±2,337","140,842","(X)","91,264","±4,582","91,264","(X)","68,585","±4,168","68,585","(X)"
"    No vehicles available","58,429","±3,569","10.9%","±0.6","314,326","±8,912","9.8%","±0.3","5,085","±967","6.9%","±1.3","46,014","±3,588","4.7%","±0.4","30,956","±2,751","4.6%","±0.4","64,640","±3,325","6.1%","±0.3","10,390","±1,527","7.4%","±1.1","4,237","±927","4.6%","±1.0","4,598","±1,093","6.7%","±1.6"
"    1 vehicle available","181,687","±5,819","33.8%","±1.0","1,115,267","±12,115","34.8%","±0.4","22,089","±2,195","29.9%","±2.8","282,778","±8,413","28.7%","±0.8","202,200","±6,371","30.2%","±0.9","344,907","±8,621","32.5%","±0.7","44,178","±2,964","31.4%","±2.0","27,515","±2,540","30.1%","±2.4","23,915","±2,355","34.9%","±3.3"
"    2 vehicles available","192,926","±5,789","35.9%","±1.1","1,123,851","±13,133","35.1%","±0.4","30,423","±2,317","41.2%","±3.0","408,842","±8,406","41.5%","±0.8","260,215","±6,594","38.8%","±1.0","421,791","±9,627","39.7%","±0.9","52,932","±3,070","37.6%","±2.1","35,329","±2,921","38.7%","±2.3","25,603","±2,591","37.3%","±2.7"
"    3 or more vehicles available","104,368","±4,981","19.4%","±0.9","648,909","±11,493","20.3%","±0.4","16,288","±1,877","22.0%","±2.4","248,663","±6,692","25.2%","±0.7","176,704","±5,818","26.4%","±0.8","229,872","±6,835","21.7%","±0.7","33,342","±2,333","23.7%","±1.6","24,183","±2,398","26.5%","±2.2","14,469","±2,145","21.1%","±2.5"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","537,410","±4,196","537,410","(X)","3,202,353","±9,199","3,202,353","(X)","73,885","±2,088","73,885","(X)","986,297","±5,154","986,297","(X)","670,075","±6,112","670,075","(X)","1,061,210","±7,516","1,061,210","(X)","140,842","±2,337","140,842","(X)","91,264","±4,582","91,264","(X)","68,585","±4,168","68,585","(X)"
"    Utility gas","387,976","±5,713","72.2%","±0.8","2,213,800","±13,808","69.1%","±0.4","43,536","±2,433","58.9%","±2.6","714,214","±8,696","72.4%","±0.8","497,743","±7,975","74.3%","±1.0","629,912","±9,473","59.4%","±0.8","103,666","±3,280","73.6%","±2.1","58,565","±3,652","64.2%","±2.7","43,820","±2,695","63.9%","±2.4"
"    Bottled, tank, or LP gas","4,834","±936","0.9%","±0.2","35,138","±2,868","1.1%","±0.1","2,750","±625","3.7%","±0.8","11,261","±1,518","1.1%","±0.2","18,622","±2,187","2.8%","±0.3","37,941","±3,124","3.6%","±0.3","2,758","±704","2.0%","±0.5","6,890","±1,227","7.5%","±1.4","2,157","±825","3.1%","±1.1"
"    Electricity","133,502","±4,415","24.8%","±0.8","747,619","±11,490","23.3%","±0.4","24,022","±1,954","32.5%","±2.5","212,954","±7,418","21.6%","±0.8","132,183","±5,542","19.7%","±0.8","338,785","±8,262","31.9%","±0.7","24,610","±2,412","17.5%","±1.7","18,236","±2,640","20.0%","±2.4","21,427","±2,068","31.2%","±2.2"
"    Fuel oil, kerosene, etc.","723","±464","0.1%","±0.1","2,517","±750","0.1%","±0.1","19","±33","0.0%","±0.1","624","±372","0.1%","±0.1","744","±375","0.1%","±0.1","1,379","±535","0.1%","±0.1","243","±321","0.2%","±0.2","299","±208","0.3%","±0.2","164","±149","0.2%","±0.2"
"    Coal or coke","0","±294","0.0%","±0.1","0","±294","0.0%","±0.1","0","±294","0.0%","±0.3","0","±294","0.0%","±0.1","0","±294","0.0%","±0.1","0","±294","0.0%","±0.1","48","±79","0.0%","±0.1","0","±294","0.0%","±0.2","0","±294","0.0%","±0.3"
"    Wood","2,043","±650","0.4%","±0.1","9,339","±1,500","0.3%","±0.1","1,140","±396","1.5%","±0.5","1,929","±622","0.2%","±0.1","4,702","±1,092","0.7%","±0.2","12,443","±1,824","1.2%","±0.2","1,739","±682","1.2%","±0.5","4,629","±958","5.1%","±1.0","610","±336","0.9%","±0.5"
"    Solar energy","728","±367","0.1%","±0.1","1,736","±615","0.1%","±0.1","45","±78","0.1%","±0.1","681","±312","0.1%","±0.1","78","±113","0.0%","±0.1","2,062","±810","0.2%","±0.1","354","±262","0.3%","±0.2","475","±249","0.5%","±0.3","169","±164","0.2%","±0.2"
"    Other fuel","906","±468","0.2%","±0.1","3,574","±983","0.1%","±0.1","1,464","±690","2.0%","±0.9","517","±370","0.1%","±0.1","2,041","±765","0.3%","±0.1","2,200","±753","0.2%","±0.1","489","±323","0.3%","±0.2","1,460","±655","1.6%","±0.7","46","±75","0.1%","±0.1"
