"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","555,909","±3,185","555,909","(X)","3,247,705","±7,125","3,247,705","(X)","77,651","±1,744","77,651","(X)","1,003,790","±4,885","1,003,790","(X)","693,585","±6,252","693,585","(X)","1,093,386","±5,511","1,093,386","(X)","140,665","±2,428","140,665","(X)","93,982","±2,069","93,982","(X)","71,024","±1,660","71,024","(X)"
"        Owner-occupied","288,417","±4,698","51.9%","±0.9","1,477,894","±14,280","45.5%","±0.4","40,650","±2,025","52.3%","±2.3","577,242","±6,926","57.5%","±0.7","442,179","±7,433","63.8%","±0.9","576,985","±6,112","52.8%","±0.6","73,083","±2,839","52.0%","±2.0","56,426","±2,450","60.0%","±2.4","34,816","±1,715","49.0%","±2.5"
"        Renter-occupied","267,492","±5,563","48.1%","±0.9","1,769,811","±13,917","54.5%","±0.4","37,001","±2,002","47.7%","±2.3","426,548","±7,197","42.5%","±0.7","251,406","±6,801","36.2%","±0.9","516,401","±7,656","47.2%","±0.6","67,582","±3,230","48.0%","±2.0","37,556","±2,530","40.0%","±2.4","36,208","±2,198","51.0%","±2.5"
"    Average household size of owner-occupied unit","2.95","±0.04","(X)","(X)","3.20","±0.02","(X)","(X)","3.15","±0.13","(X)","(X)","3.01","±0.03","(X)","(X)","3.19","±0.04","(X)","(X)","2.84","±0.03","(X)","(X)","2.83","±0.09","(X)","(X)","2.71","±0.10","(X)","(X)","2.82","±0.14","(X)","(X)"
"    Average household size of renter-occupied unit","2.60","±0.04","(X)","(X)","2.89","±0.02","(X)","(X)","3.46","±0.12","(X)","(X)","3.13","±0.04","(X)","(X)","3.39","±0.07","(X)","(X)","2.88","±0.04","(X)","(X)","3.10","±0.10","(X)","(X)","2.78","±0.16","(X)","(X)","2.72","±0.13","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","555,909","±3,185","555,909","(X)","3,247,705","±7,125","3,247,705","(X)","77,651","±1,744","77,651","(X)","1,003,790","±4,885","1,003,790","(X)","693,585","±6,252","693,585","(X)","1,093,386","±5,511","1,093,386","(X)","140,665","±2,428","140,665","(X)","93,982","±2,069","93,982","(X)","71,024","±1,660","71,024","(X)"
"        Moved in 2010 or later","208,305","±5,551","37.5%","±0.9","1,156,294","±13,192","35.6%","±0.4","30,248","±2,734","39.0%","±3.3","359,903","±7,599","35.9%","±0.7","269,782","±7,517","38.9%","±0.9","435,926","±7,128","39.9%","±0.6","53,897","±3,058","38.3%","±1.9","28,171","±2,398","30.0%","±2.3","31,008","±2,232","43.7%","±2.6"
"        Moved in 2000 to 2009","188,057","±5,241","33.8%","±1.0","1,065,754","±13,026","32.8%","±0.4","26,854","±2,190","34.6%","±2.9","327,593","±7,849","32.6%","±0.8","269,340","±6,191","38.8%","±0.9","375,437","±7,947","34.3%","±0.7","45,295","±2,448","32.2%","±1.7","30,968","±2,354","33.0%","±2.3","24,012","±1,514","33.8%","±2.1"
"        Moved in 1990 to 1999","75,539","±3,583","13.6%","±0.6","517,158","±10,155","15.9%","±0.3","10,008","±1,534","12.9%","±1.9","168,196","±5,449","16.8%","±0.5","92,964","±4,586","13.4%","±0.7","144,407","±5,220","13.2%","±0.5","20,060","±1,809","14.3%","±1.2","18,662","±1,693","19.9%","±1.9","7,935","±1,036","11.2%","±1.5"
"        Moved in 1980 to 1989","39,201","±2,738","7.1%","±0.5","237,339","±5,974","7.3%","±0.2","4,185","±852","5.4%","±1.1","74,793","±3,823","7.5%","±0.4","40,666","±2,998","5.9%","±0.4","66,655","±3,736","6.1%","±0.3","10,177","±1,273","7.2%","±0.9","8,839","±1,359","9.4%","±1.4","3,703","±879","5.2%","±1.3"
"        Moved in 1970 to 1979","26,128","±1,751","4.7%","±0.3","158,805","±4,316","4.9%","±0.1","3,995","±865","5.1%","±1.1","49,207","±3,116","4.9%","±0.3","14,252","±1,438","2.1%","±0.2","46,521","±3,108","4.3%","±0.3","5,836","±967","4.1%","±0.7","5,505","±1,034","5.9%","±1.1","2,391","±636","3.4%","±0.9"
"        Moved in 1969 or earlier","18,679","±1,735","3.4%","±0.3","112,355","±4,566","3.5%","±0.1","2,361","±625","3.0%","±0.8","24,098","±1,847","2.4%","±0.2","6,581","±961","0.9%","±0.1","24,440","±1,917","2.2%","±0.2","5,400","±1,022","3.8%","±0.7","1,837","±673","2.0%","±0.7","1,975","±605","2.8%","±0.9"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","555,909","±3,185","555,909","(X)","3,247,705","±7,125","3,247,705","(X)","77,651","±1,744","77,651","(X)","1,003,790","±4,885","1,003,790","(X)","693,585","±6,252","693,585","(X)","1,093,386","±5,511","1,093,386","(X)","140,665","±2,428","140,665","(X)","93,982","±2,069","93,982","(X)","71,024","±1,660","71,024","(X)"
"        No vehicles available","57,270","±2,872","10.3%","±0.5","310,992","±7,930","9.6%","±0.2","6,091","±1,463","7.8%","±1.9","51,560","±3,835","5.1%","±0.4","37,051","±3,272","5.3%","±0.5","66,559","±3,686","6.1%","±0.3","10,984","±1,721","7.8%","±1.2","6,938","±1,160","7.4%","±1.2","7,442","±1,587","10.5%","±2.2"
"        1 vehicle available","191,661","±5,040","34.5%","±0.9","1,146,919","±12,772","35.3%","±0.4","23,398","±2,156","30.1%","±2.8","286,924","±6,924","28.6%","±0.7","211,587","±5,993","30.5%","±0.8","345,012","±7,297","31.6%","±0.6","43,499","±2,913","30.9%","±2.0","25,785","±2,387","27.4%","±2.5","22,280","±1,868","31.4%","±2.6"
"        2 vehicles available","193,637","±5,606","34.8%","±1.0","1,144,730","±14,040","35.2%","±0.4","28,832","±2,060","37.1%","±2.4","417,156","±8,768","41.6%","±0.9","262,032","±6,145","37.8%","±0.8","430,288","±8,882","39.4%","±0.8","53,517","±2,964","38.0%","±2.0","36,126","±2,522","38.4%","±2.6","24,639","±1,782","34.7%","±2.4"
"        3 or more vehicles available","113,341","±3,899","20.4%","±0.7","645,064","±9,720","19.9%","±0.3","19,330","±1,658","24.9%","±2.1","248,150","±6,833","24.7%","±0.7","182,915","±5,748","26.4%","±0.8","251,527","±6,762","23.0%","±0.6","32,665","±2,261","23.2%","±1.5","25,133","±2,060","26.7%","±2.1","16,663","±1,930","23.5%","±2.6"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","555,909","±3,185","555,909","(X)","3,247,705","±7,125","3,247,705","(X)","77,651","±1,744","77,651","(X)","1,003,790","±4,885","1,003,790","(X)","693,585","±6,252","693,585","(X)","1,093,386","±5,511","1,093,386","(X)","140,665","±2,428","140,665","(X)","93,982","±2,069","93,982","(X)","71,024","±1,660","71,024","(X)"
"        Utility gas","392,228","±5,709","70.6%","±0.9","2,128,827","±14,002","65.5%","±0.4","41,081","±2,269","52.9%","±2.7","695,263","±7,718","69.3%","±0.7","517,934","±7,716","74.7%","±0.7","615,632","±8,825","56.3%","±0.8","105,925","±3,042","75.3%","±1.9","56,205","±2,513","59.8%","±2.5","42,723","±2,064","60.2%","±2.7"
"        Bottled, tank, or LP gas","7,183","±1,043","1.3%","±0.2","41,783","±2,541","1.3%","±0.1","2,976","±663","3.8%","±0.9","13,472","±1,612","1.3%","±0.2","22,221","±2,024","3.2%","±0.3","33,690","±2,669","3.1%","±0.2","2,609","±825","1.9%","±0.6","10,331","±1,263","11.0%","±1.3","2,068","±666","2.9%","±0.9"
"        Electricity","140,871","±5,168","25.3%","±0.9","862,388","±11,710","26.6%","±0.4","29,910","±2,094","38.5%","±2.4","245,118","±6,882","24.4%","±0.7","136,026","±4,596","19.6%","±0.7","379,101","±8,574","34.7%","±0.7","25,792","±2,446","18.3%","±1.7","19,961","±2,109","21.2%","±2.2","22,956","±1,907","32.3%","±2.5"
"        Fuel oil, kerosene, etc.","552","±348","0.1%","±0.1","2,359","±593","0.1%","±0.1","0","±203","0.0%","±0.2","624","±315","0.1%","±0.1","776","±449","0.1%","±0.1","861","±455","0.1%","±0.1","352","±414","0.3%","±0.3","0","±203","0.0%","±0.2","127","±155","0.2%","±0.2"
"        Coal or coke","155","±180","0.0%","±0.1","214","±244","0.0%","±0.1","0","±203","0.0%","±0.2","99","±126","0.0%","±0.1","0","±203","0.0%","±0.1","72","±118","0.0%","±0.1","0","±203","0.0%","±0.1","0","±203","0.0%","±0.2","0","±203","0.0%","±0.2"
"        Wood","2,091","±647","0.4%","±0.1","6,248","±1,247","0.2%","±0.1","1,422","±488","1.8%","±0.6","2,902","±897","0.3%","±0.1","3,999","±924","0.6%","±0.1","12,075","±1,589","1.1%","±0.1","1,480","±576","1.1%","±0.4","5,195","±1,185","5.5%","±1.2","1,636","±621","2.3%","±0.9"
"        Solar energy","1,026","±418","0.2%","±0.1","3,207","±718","0.1%","±0.1","241","±232","0.3%","±0.3","1,126","±445","0.1%","±0.1","1,324","±595","0.2%","±0.1","2,668","±750","0.2%","±0.1","101","±122","0.1%","±0.1","281","±221","0.3%","±0.2","374","±270","0.5%","±0.4"
"        Other fuel","989","±450","0.2%","±0.1","4,371","±879","0.1%","±0.1","1,240","±498","1.6%","±0.6","960","±543","0.1%","±0.1","1,763","±609","0.3%","±0.1","5,241","±1,351","0.5%","±0.1","328","±194","0.2%","±0.1","401","±314","0.4%","±0.3","325","±199","0.5%","±0.3"
"        No fuel used","10,814","±1,559","1.9%","±0.3","198,308","±5,944","6.1%","±0.2","781","±455","1.0%","±0.6","44,226","±3,159","4.4%","±0.3","9,542","±1,229","1.4%","±0.2","44,046","±3,514","4.0%","±0.3","4,078","±959","2.9%","±0.7","1,608","±815","1.7%","±0.9","815","±492","1.1%","±0.7"
