"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"    Built 2000 to 2004","24,352","±3,165","4.2%","±0.5","107,226","±4,724","3.1%","±0.1","9,884","±1,547","11.8%","±1.8","64,897","±3,832","6.2%","±0.4","126,148","±6,578","15.6%","±0.8","85,679","±5,629","7.3%","±0.5","8,851","±1,402","5.8%","±0.9","5,935","±1,127","7.7%","±1.5","9,141","±1,659","12.1%","±2.2"
"    Built 1990 to 1999","48,608","±2,977","8.3%","±0.5","211,609","±7,064","6.1%","±0.2","15,979","±1,943","19.1%","±2.3","119,847","±5,005","11.4%","±0.5","129,262","±6,319","16.0%","±0.8","143,210","±6,119","12.3%","±0.5","14,874","±1,870","9.7%","±1.2","9,221","±1,397","11.9%","±1.8","8,899","±1,254","11.8%","±1.7"
"    Built 1980 to 1989","59,443","±3,998","10.2%","±0.7","411,320","±9,650","11.9%","±0.3","12,387","±1,588","14.8%","±1.9","164,487","±5,509","15.7%","±0.5","178,227","±5,842","22.1%","±0.7","225,930","±7,044","19.3%","±0.6","24,620","±2,215","16.1%","±1.4","15,521","±2,141","20.1%","±2.7","11,326","±1,806","15.0%","±2.4"
"    Built 1970 to 1979","103,563","±4,865","17.7%","±0.8","479,597","±8,164","13.9%","±0.2","11,586","±1,557","13.9%","±1.9","257,817","±6,456","24.5%","±0.6","124,727","±6,482","15.5%","±0.8","280,059","±7,950","24.0%","±0.7","27,859","±2,177","18.2%","±1.4","16,600","±1,809","21.5%","±2.3","15,398","±1,798","20.4%","±2.4"
"    Built 1960 to 1969","78,313","±4,390","13.4%","±0.8","521,813","±10,445","15.1%","±0.3","8,294","±1,338","9.9%","±1.6","211,683","±6,176","20.1%","±0.6","69,263","±3,949","8.6%","±0.5","154,072","±5,414","13.2%","±0.5","32,209","±2,179","21.1%","±1.4","12,130","±1,653","15.7%","±2.2","8,749","±1,585","11.6%","±2.1"
"    Built 1950 to 1959","77,490","±3,830","13.3%","±0.7","715,697","±11,157","20.7%","±0.3","6,266","±1,147","7.5%","±1.4","137,443","±4,361","13.1%","±0.4","51,671","±3,409","6.4%","±0.4","123,536","±4,735","10.6%","±0.4","20,034","±2,113","13.1%","±1.4","7,632","±1,326","9.9%","±1.7","7,607","±1,317","10.1%","±1.7"
"    Built 1940 to 1949","43,895","±2,975","7.5%","±0.5","371,086","±7,352","10.8%","±0.2","5,197","±1,026","6.2%","±1.2","24,007","±2,286","2.3%","±0.2","16,006","±1,967","2.0%","±0.2","47,651","±3,698","4.1%","±0.3","5,457","±1,214","3.6%","±0.8","2,946","±961","3.8%","±1.2","3,619","±857","4.8%","±1.1"
"    Built 1939 or earlier","125,319","±3,878","21.4%","±0.7","516,560","±8,700","15.0%","±0.3","3,986","±874","4.8%","±1.0","29,360","±2,637","2.8%","±0.3","17,287","±2,569","2.1%","±0.3","50,130","±3,271","4.3%","±0.3","12,706","±1,452","8.3%","±0.9","2,932","±988","3.8%","±1.3","4,612","±1,184","6.1%","±1.6"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","584,631","±801","584,631","(X)","3,449,489","±2,013","3,449,489","(X)","83,583","±264","83,583","(X)","1,050,907","±747","1,050,907","(X)","807,206","±1,090","807,206","(X)","1,168,705","±2,230","1,168,705","(X)","152,856","±687","152,856","(X)","77,340","±464","77,340","(X)","75,542","±341","75,542","(X)"
"    1 room","17,690","±2,929","3.0%","±0.5","184,448","±8,115","5.3%","±0.2","959","±496","1.1%","±0.6","22,691","±2,984","2.2%","±0.3","11,460","±2,139","1.4%","±0.3","26,546","±2,862","2.3%","±0.2","4,896","±1,319","3.2%","±0.9","2,496","±1,067","3.2%","±1.4","602","±576","0.8%","±0.8"
"    2 rooms","21,374","±2,351","3.7%","±0.4","180,140","±5,903","5.2%","±0.2","553","±325","0.7%","±0.4","38,454","±2,711","3.7%","±0.3","19,496","±2,477","2.4%","±0.3","41,351","±3,069","3.5%","±0.3","5,726","±1,015","3.7%","±0.7","954","±433","1.2%","±0.6","2,847","±917","3.8%","±1.2"
"    3 rooms","82,721","±4,626","14.1%","±0.8","578,401","±11,422","16.8%","±0.3","6,008","±1,208","7.2%","±1.4","135,858","±6,181","12.9%","±0.6","59,227","±4,395","7.3%","±0.5","144,338","±5,666","12.4%","±0.5","17,013","±2,150","11.1%","±1.4","5,510","±1,144","7.1%","±1.5","8,642","±1,736","11.4%","±2.3"
"    4 rooms","118,470","±5,344","20.3%","±0.9","719,832","±11,422","20.9%","±0.3","16,073","±2,041","19.2%","±2.4","212,530","±7,792","20.2%","±0.7","137,178","±5,932","17.0%","±0.7","239,296","±7,964","20.5%","±0.7","29,984","±2,221","19.6%","±1.4","16,591","±2,584","21.5%","±3.3","14,615","±2,007","19.3%","±2.7"
"    5 rooms","111,749","±4,425","19.1%","±0.8","666,416","±12,146","19.3%","±0.4","24,575","±2,127","29.4%","±2.5","187,434","±5,759","17.8%","±0.6","173,989","±7,427","21.6%","±0.9","220,651","±6,356","18.9%","±0.5","32,798","±2,500","21.5%","±1.6","20,223","±2,448","26.1%","±3.2","16,630","±2,119","22.0%","±2.8"
"    6 rooms","93,832","±4,956","16.0%","±0.8","498,525","±9,777","14.5%","±0.3","18,195","±2,336","21.8%","±2.8","166,138","±5,664","15.8%","±0.5","161,748","±8,181","20.0%","±1.0","183,815","±5,628","15.7%","±0.5","25,748","±2,201","16.8%","±1.4","13,924","±1,550","18.0%","±2.0","13,492","±1,828","17.9%","±2.4"
"    7 rooms","63,953","±3,494","10.9%","±0.6","292,940","±8,696","8.5%","±0.3","9,016","±1,318","10.8%","±1.6","127,768","±4,902","12.2%","±0.5","109,934","±4,906","13.6%","±0.6","123,054","±4,948","10.5%","±0.4","17,844","±2,023","11.7%","±1.3","9,220","±1,757","11.9%","±2.3","8,943","±1,584","11.8%","±2.1"
"    8 rooms","39,103","±2,903","6.7%","±0.5","166,812","±5,403","4.8%","±0.2","4,596","±1,145","5.5%","±1.4","81,983","±3,990","7.8%","±0.4","69,200","±5,391","8.6%","±0.7","82,498","±4,609","7.1%","±0.4","10,296","±1,171","6.7%","±0.8","4,601","±1,109","5.9%","±1.4","4,800","±1,014","6.4%","±1.3"
"    9 rooms or more","35,739","±2,286","6.1%","±0.4","161,975","±5,601","4.7%","±0.2","3,608","±773","4.3%","±0.9","78,051","±3,961","7.4%","±0.4","64,974","±4,843","8.0%","±0.6","107,156","±4,598","9.2%","±0.4","8,551","±1,101","5.6%","±0.7","3,821","±781","4.9%","±1.0","4,971","±1,058","6.6%","±1.4"
"    Median rooms","5.0","±0.1","(X)","(X)","4.6","±0.1","(X)","(X)","5.2","±0.2","(X)","(X)","5.1","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.1","±0.1","(X)","(X)","5.1","±0.1","(X)","(X)","5.1","±0.2","(X)","(X)","5.2","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","584,631","±801","584,631","(X)","3,449,489","±2,013","3,449,489","(X)","83,583","±264","83,583","(X)","1,050,907","±747","1,050,907","(X)","807,206","±1,090","807,206","(X)","1,168,705","±2,230","1,168,705","(X)","152,856","±687","152,856","(X)","77,340","±464","77,340","(X)","75,542","±341","75,542","(X)"
"    No bedroom","21,236","±3,011","3.6%","±0.5","206,686","±8,347","6.0%","±0.2","1,228","±494","1.5%","±0.6","24,679","±3,003","2.3%","±0.3","12,474","±2,169","1.5%","±0.3","30,683","±3,018","2.6%","±0.3","5,439","±1,350","3.6%","±0.9","2,819","±1,092","3.6%","±1.4","840","±610","1.1%","±0.8"
"    1 bedroom","99,496","±4,425","17.0%","±0.8","699,127","±12,631","20.3%","±0.4","5,569","±1,053","6.7%","±1.3","136,903","±6,134","13.0%","±0.6","72,692","±4,966","9.0%","±0.6","178,191","±5,689","15.2%","±0.5","21,425","±2,143","14.0%","±1.4","6,179","±1,273","8.0%","±1.6","9,932","±1,637","13.1%","±2.2"
"    2 bedrooms","171,330","±6,138","29.3%","±1.0","1,053,071","±12,664","30.5%","±0.4","20,093","±2,157","24.0%","±2.6","302,235","±6,906","28.8%","±0.7","206,664","±7,226","25.6%","±0.9","361,760","±7,203","31.0%","±0.6","41,264","±2,656","27.0%","±1.7","22,802","±2,330","29.5%","±3.0","20,159","±2,023","26.7%","±2.7"
"    3 bedrooms","178,411","±5,124","30.5%","±0.9","968,290","±11,144","28.1%","±0.3","37,659","±2,335","45.1%","±2.8","312,006","±6,396","29.7%","±0.6","276,980","±8,343","34.3%","±1.0","354,710","±7,434","30.4%","±0.6","54,732","±2,618","35.8%","±1.7","33,819","±2,237","43.7%","±2.9","26,666","±1,978","35.3%","±2.6"
"    4 bedrooms","91,241","±3,974","15.6%","±0.7","403,731","±8,672","11.7%","±0.3","16,317","±1,894","19.5%","±2.3","217,906","±5,729","20.7%","±0.5","178,137","±7,838","22.1%","±1.0","188,018","±6,539","16.1%","±0.6","24,061","±2,129","15.7%","±1.4","9,555","±1,580","12.4%","±2.0","14,037","±1,978","18.6%","±2.6"
"    5 or more bedrooms","22,917","±2,329","3.9%","±0.4","118,584","±4,872","3.4%","±0.1","2,717","±812","3.3%","±1.0","57,178","±3,319","5.4%","±0.3","60,259","±5,162","7.5%","±0.6","55,343","±4,016","4.7%","±0.3","5,935","±1,095","3.9%","±0.7","2,166","±849","2.8%","±1.1","3,908","±1,317","5.2%","±1.7"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","545,559","±3,859","545,559","(X)","3,201,795","±8,979","3,201,795","(X)","74,833","±1,512","74,833","(X)","992,855","±5,422","992,855","(X)","684,794","±6,855","684,794","(X)","1,061,056","±6,785","1,061,056","(X)","140,889","±2,147","140,889","(X)","69,102","±2,048","69,102","(X)","70,101","±1,692","70,101","(X)"
"    Owner-occupied","289,222","±5,684","53.0%","±1.1","1,482,011","±12,100","46.3%","±0.4","38,880","±2,463","52.0%","±3.0","581,991","±6,072","58.6%","±0.6","451,415","±7,857","65.9%","±1.1","565,447","±6,512","53.3%","±0.6","71,387","±2,527","50.7%","±1.6","45,256","±1,976","65.5%","±2.8","37,802","±2,312","53.9%","±3.0"
"    Renter-occupied","256,337","±6,348","47.0%","±1.1","1,719,784","±15,328","53.7%","±0.4","35,953","±2,258","48.0%","±3.0","410,864","±6,997","41.4%","±0.6","233,379","±8,333","34.1%","±1.1","495,609","±8,241","46.7%","±0.6","69,502","±2,583","49.3%","±1.6","23,846","±2,238","34.5%","±2.8","32,299","±2,196","46.1%","±3.0"
"    Average household size of owner-occupied unit","2.86","±0.04","(X)","(X)","3.21","±0.02","(X)","(X)","3.26","±0.12","(X)","(X)","3.02","±0.03","(X)","(X)","3.20","±0.04","(X)","(X)","2.90","±0.03","(X)","(X)","2.75","±0.08","(X)","(X)","2.51","±0.10","(X)","(X)","2.80","±0.10","(X)","(X)"
"    Average household size of renter-occupied unit","2.62","±0.05","(X)","(X)","2.88","±0.02","(X)","(X)","3.59","±0.13","(X)","(X)","3.05","±0.04","(X)","(X)","3.25","±0.07","(X)","(X)","2.85","±0.04","(X)","(X)","3.09","±0.10","(X)","(X)","2.56","±0.14","(X)","(X)","2.76","±0.15","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","545,559","±3,859","545,559","(X)","3,201,795","±8,979","3,201,795","(X)","74,833","±1,512","74,833","(X)","992,855","±5,422","992,855","(X)","684,794","±6,855","684,794","(X)","1,061,056","±6,785","1,061,056","(X)","140,889","±2,147","140,889","(X)","69,102","±2,048","69,102","(X)","70,101","±1,692","70,101","(X)"
"    Moved in 2005 or later","279,359","±5,653","51.2%","±1.0","1,545,981","±14,546","48.3%","±0.4","42,503","±2,282","56.8%","±2.6","477,705","±7,448","48.1%","±0.7","380,682","±8,967","55.6%","±1.1","579,769","±9,130","54.6%","±0.7","71,197","±2,679","50.5%","±1.7","31,766","±2,338","46.0%","±3.1","38,580","±2,369","55.0%","±2.8"
"    Moved in 2000 to 2004","81,023","±4,021","14.9%","±0.7","522,413","±10,212","16.3%","±0.3","11,552","±1,643","15.4%","±2.2","172,457","±5,929","17.4%","±0.6","134,967","±6,847","19.7%","±1.0","164,320","±5,847","15.5%","±0.5","22,415","±2,032","15.9%","±1.4","12,203","±1,889","17.7%","±2.6","10,917","±1,663","15.6%","±2.3"
"    Moved in 1990 to 1999","89,828","±3,610","16.5%","±0.6","580,271","±10,642","18.1%","±0.3","10,707","±1,459","14.3%","±2.0","182,613","±5,512","18.4%","±0.6","107,321","±5,364","15.7%","±0.8","165,057","±5,810","15.6%","±0.6","24,106","±1,982","17.1%","±1.4","11,827","±1,574","17.1%","±2.3","10,912","±1,378","15.6%","±2.0"
"    Moved in 1980 to 1989","43,585","±2,692","8.0%","±0.5","252,637","±6,825","7.9%","±0.2","4,266","±887","5.7%","±1.2","79,047","±3,238","8.0%","±0.3","38,096","±2,428","5.6%","±0.4","75,055","±3,699","7.1%","±0.3","11,671","±1,484","8.3%","±1.1","7,108","±1,144","10.3%","±1.6","4,100","±905","5.8%","±1.3"
"    Moved in 1970 to 1979","29,357","±2,514","5.4%","±0.5","174,736","±5,046","5.5%","±0.2","3,462","±761","4.6%","±1.0","52,835","±2,731","5.3%","±0.3","16,559","±1,799","2.4%","±0.3","47,308","±2,685","4.5%","±0.3","6,836","±1,094","4.9%","±0.8","4,299","±1,046","6.2%","±1.5","3,407","±900","4.9%","±1.3"
"    Moved in 1969 or earlier","22,407","±1,609","4.1%","±0.3","125,757","±4,778","3.9%","±0.2","2,343","±553","3.1%","±0.7","28,198","±1,668","2.8%","±0.2","7,169","±1,194","1.0%","±0.2","29,547","±1,898","2.8%","±0.2","4,664","±800","3.3%","±0.6","1,899","±573","2.7%","±0.8","2,185","±699","3.1%","±1.0"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","545,559","±3,859","545,559","(X)","3,201,795","±8,979","3,201,795","(X)","74,833","±1,512","74,833","(X)","992,855","±5,422","992,855","(X)","684,794","±6,855","684,794","(X)","1,061,056","±6,785","1,061,056","(X)","140,889","±2,147","140,889","(X)","69,102","±2,048","69,102","(X)","70,101","±1,692","70,101","(X)"
"    No vehicles available","56,594","±3,479","10.4%","±0.6","324,501","±8,149","10.1%","±0.3","5,649","±1,101","7.5%","±1.5","50,681","±2,975","5.1%","±0.3","38,085","±3,377","5.6%","±0.5","67,661","±4,074","6.4%","±0.4","9,043","±1,484","6.4%","±1.0","5,024","±1,240","7.3%","±1.7","6,283","±1,388","9.0%","±2.0"
"    1 vehicle available","183,938","±5,298","33.7%","±1.0","1,142,859","±16,251","35.7%","±0.5","25,428","±1,884","34.0%","±2.4","289,462","±7,730","29.2%","±0.8","209,217","±7,298","30.6%","±1.0","351,102","±8,957","33.1%","±0.8","46,183","±3,092","32.8%","±2.2","22,711","±2,188","32.9%","±3.0","22,754","±2,395","32.5%","±3.3"
"    2 vehicles available","198,229","±5,808","36.3%","±1.0","1,104,984","±12,229","34.5%","±0.4","25,551","±2,163","34.1%","±2.7","415,940","±6,974","41.9%","±0.7","257,944","±8,566","37.7%","±1.2","412,047","±8,439","38.8%","±0.8","51,205","±3,086","36.3%","±2.0","24,364","±1,886","35.3%","±2.7","26,655","±2,404","38.0%","±3.2"
"    3 or more vehicles available","106,798","±4,314","19.6%","±0.8","629,451","±10,942","19.7%","±0.3","18,205","±2,074","24.3%","±2.8","236,772","±6,283","23.8%","±0.6","179,548","±6,427","26.2%","±1.0","230,246","±6,562","21.7%","±0.6","34,458","±2,441","24.5%","±1.7","17,003","±1,879","24.6%","±2.6","14,409","±1,867","20.6%","±2.7"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","545,559","±3,859","545,559","(X)","3,201,795","±8,979","3,201,795","(X)","74,833","±1,512","74,833","(X)","992,855","±5,422","992,855","(X)","684,794","±6,855","684,794","(X)","1,061,056","±6,785","1,061,056","(X)","140,889","±2,147","140,889","(X)","69,102","±2,048","69,102","(X)","70,101","±1,692","70,101","(X)"
"    Utility gas","393,004","±5,951","72.0%","±1.0","2,175,542","±12,639","67.9%","±0.4","41,330","±2,093","55.2%","±2.4","722,625","±6,964","72.8%","±0.6","506,402","±7,478","73.9%","±0.9","622,646","±8,164","58.7%","±0.7","104,689","±2,888","74.3%","±1.7","32,868","±2,255","47.6%","±3.0","46,038","±1,992","65.7%","±2.6"
"    Bottled, tank, or LP gas","3,909","±692","0.7%","±0.1","33,908","±2,266","1.1%","±0.1","2,404","±493","3.2%","±0.7","9,619","±1,395","1.0%","±0.1","22,604","±2,555","3.3%","±0.4","33,972","±2,567","3.2%","±0.2","2,643","±549","1.9%","±0.4","6,591","±1,067","9.5%","±1.6","2,020","±610","2.9%","±0.9"
"    Electricity","134,902","±5,273","24.7%","±0.9","809,967","±13,485","25.3%","±0.4","27,938","±1,777","37.3%","±2.3","219,910","±6,682","22.1%","±0.6","136,672","±6,103","20.0%","±0.8","347,751","±8,824","32.8%","±0.8","23,981","±2,319","17.0%","±1.6","17,736","±2,013","25.7%","±2.8","19,882","±1,940","28.4%","±2.6"
"    Fuel oil, kerosene, etc.","514","±265","0.1%","±0.1","1,876","±652","0.1%","±0.1","313","±443","0.4%","±0.6","160","±156","0.0%","±0.1","320","±227","0.0%","±0.1","2,715","±1,050","0.3%","±0.1","228","±204","0.2%","±0.1","2,042","±720","3.0%","±1.1","174","±177","0.2%","±0.3"
"    Coal or coke","0","±208","0.0%","±0.1","71","±116","0.0%","±0.1","50","±80","0.1%","±0.1","43","±70","0.0%","±0.1","0","±208","0.0%","±0.1","0","±208","0.0%","±0.1","0","±208","0.0%","±0.1","15","±25","0.0%","±0.1","0","±208","0.0%","±0.3"
"    Wood","2,195","±795","0.4%","±0.1","8,798","±1,371","0.3%","±0.1","1,232","±347","1.6%","±0.5","2,828","±963","0.3%","±0.1","4,598","±1,038","0.7%","±0.2","13,507","±1,863","1.3%","±0.2","1,115","±502","0.8%","±0.4","8,860","±1,324","12.8%","±1.8","1,665","±637","2.4%","±0.9"
"    Solar energy","1,162","±610","0.2%","±0.1","1,467","±533","0.0%","±0.1","98","±163","0.1%","±0.2","531","±365","0.1%","±0.1","254","±212","0.0%","±0.1","1,019","±414","0.1%","±0.1","275","±359","0.2%","±0.3","0","±208","0.0%","±0.3","0","±208","0.0%","±0.3"
"    Other fuel","901","±424","0.2%","±0.1","3,173","±904","0.1%","±0.1","1,049","±424","1.4%","±0.6","491","±238","0.0%","±0.1","1,395","±720","0.2%","±0.1","3,286","±1,059","0.3%","±0.1","58","±74","0.0%","±0.1","362","±277","0.5%","±0.4","144","±125","0.2%","±0.2"
"    No fuel used","8,972","±1,560","1.6%","±0.3","166,993","±6,545","5.2%","±0.2","419","±267","0.6%","±0.4","36,648","±2,687","3.7%","±0.3","12,549","±2,149","1.8%","±0.3","36,160","±3,571","3.4%","±0.3","7,900","±1,275","5.6%","±0.9","628","±426","0.9%","±0.6","178","±204","0.3%","±0.3"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
