"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"        2 units","21,822","±964","3.6%","±0.2","94,757","±2,185","2.7%","±0.1","2,540","±405","2.9%","±0.5","17,817","±1,081","1.6%","±0.1","11,961","±822","1.4%","±0.1","20,285","±1,245","1.7%","±0.1","5,171","±516","3.2%","±0.3","1,817","±369","2.3%","±0.5","1,588","±378","2.0%","±0.5"
"        3 or 4 units","40,192","±1,557","6.6%","±0.3","207,977","±3,191","5.8%","±0.1","3,871","±514","4.5%","±0.6","74,825","±2,129","6.8%","±0.2","31,732","±1,600","3.8%","±0.2","57,083","±2,073","4.7%","±0.2","9,527","±857","6.0%","±0.5","4,100","±558","5.2%","±0.7","4,632","±541","5.9%","±0.7"
"        5 to 9 units","32,101","±1,347","5.3%","±0.2","277,624","±4,082","7.8%","±0.1","3,829","±441","4.4%","±0.5","70,998","±2,003","6.4%","±0.2","36,898","±1,519","4.4%","±0.2","88,958","±2,416","7.3%","±0.2","12,588","±919","7.9%","±0.6","2,848","±455","3.6%","±0.6","4,998","±516","6.4%","±0.7"
"        10 to 19 units","30,671","±1,354","5.1%","±0.2","273,566","±3,805","7.7%","±0.1","1,584","±343","1.8%","±0.4","55,766","±2,254","5.1%","±0.2","26,156","±1,430","3.1%","±0.2","80,041","±2,635","6.6%","±0.2","8,972","±748","5.6%","±0.5","1,093","±269","1.4%","±0.3","4,364","±485","5.6%","±0.6"
"        20 or more units","104,348","±1,826","17.2%","±0.3","698,404","±5,012","19.6%","±0.1","2,101","±305","2.4%","±0.4","156,398","±3,096","14.2%","±0.3","38,666","±1,391","4.6%","±0.2","184,797","±3,016","15.2%","±0.2","13,445","±953","8.4%","±0.6","2,511","±356","3.2%","±0.5","8,303","±685","10.6%","±0.9"
"        Mobile home","7,291","±571","1.2%","±0.1","56,891","±1,587","1.6%","±0.1","5,692","±576","6.6%","±0.7","29,762","±1,077","2.7%","±0.1","72,363","±1,781","8.6%","±0.2","41,738","±1,477","3.4%","±0.1","6,841","±507","4.3%","±0.3","9,310","±622","11.9%","±0.8","2,908","±357","3.7%","±0.5"
"        Boat, RV, van, etc.","348","±151","0.1%","±0.1","2,405","±499","0.1%","±0.1","100","±79","0.1%","±0.1","505","±170","0.0%","±0.1","961","±221","0.1%","±0.1","1,339","±353","0.1%","±0.1","69","±68","0.0%","±0.1","190","±78","0.2%","±0.1","205","±129","0.3%","±0.2"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","605,767","±422","605,767","(X)","3,559,790","±989","3,559,790","(X)","86,691","±193","86,691","(X)","1,101,244","±541","1,101,244","(X)","845,066","±1,119","845,066","(X)","1,215,528","±822","1,215,528","(X)","159,317","±449","159,317","(X)","78,488","±262","78,488","(X)","78,565","±273","78,565","(X)"
"        Built 2014 or later","14,181","±788","2.3%","±0.1","59,345","±1,811","1.7%","±0.1","1,469","±283","1.7%","±0.3","38,622","±1,684","3.5%","±0.2","27,162","±1,372","3.2%","±0.2","30,326","±1,562","2.5%","±0.1","3,159","±418","2.0%","±0.3","1,401","±274","1.8%","±0.3","2,005","±296","2.6%","±0.4"
"        Built 2010 to 2013","9,817","±647","1.6%","±0.1","45,617","±1,677","1.3%","±0.1","972","±199","1.1%","±0.2","22,367","±1,408","2.0%","±0.1","24,528","±1,572","2.9%","±0.2","23,282","±1,308","1.9%","±0.1","3,110","±432","2.0%","±0.3","1,074","±254","1.4%","±0.3","2,008","±361","2.6%","±0.5"
"        Built 2000 to 2009","42,981","±1,285","7.1%","±0.2","187,719","±3,074","5.3%","±0.1","18,162","±865","21.0%","±1.0","88,790","±2,376","8.1%","±0.2","214,458","±3,109","25.4%","±0.4","140,793","±3,150","11.6%","±0.3","12,677","±785","8.0%","±0.5","9,535","±517","12.1%","±0.7","13,801","±655","17.6%","±0.8"
"        Built 1990 to 1999","54,093","±1,823","8.9%","±0.3","231,319","±3,690","6.5%","±0.1","12,173","±804","14.0%","±0.9","128,454","±2,683","11.7%","±0.2","134,663","±2,575","15.9%","±0.3","151,862","±2,940","12.5%","±0.2","15,974","±1,046","10.0%","±0.7","12,737","±745","16.2%","±0.9","11,594","±728","14.8%","±0.9"
"        Built 1980 to 1989","74,243","±2,007","12.3%","±0.3","417,429","±4,814","11.7%","±0.1","11,705","±926","13.5%","±1.1","160,919","±3,200","14.6%","±0.3","176,923","±3,030","20.9%","±0.4","226,660","±3,250","18.6%","±0.3","24,336","±1,188","15.3%","±0.7","15,737","±846","20.1%","±1.1","11,668","±790","14.9%","±1.0"
"        Built 1970 to 1979","94,377","±2,341","15.6%","±0.4","491,788","±4,325","13.8%","±0.1","15,291","±918","17.6%","±1.1","257,314","±3,120","23.4%","±0.3","120,464","±2,369","14.3%","±0.3","274,025","±4,122","22.5%","±0.3","29,501","±1,082","18.5%","±0.7","17,018","±799","21.7%","±1.0","13,986","±727","17.8%","±0.9"
"        Built 1960 to 1969","81,612","±2,154","13.5%","±0.4","524,253","±4,362","14.7%","±0.1","8,828","±672","10.2%","±0.8","210,991","±2,528","19.2%","±0.2","62,944","±1,758","7.4%","±0.2","146,082","±3,285","12.0%","±0.3","31,793","±1,012","20.0%","±0.6","8,865","±762","11.3%","±1.0","9,156","±703","11.7%","±0.9"
"        Built 1950 to 1959","77,388","±1,763","12.8%","±0.3","720,031","±5,289","20.2%","±0.1","7,885","±674","9.1%","±0.8","143,329","±2,318","13.0%","±0.2","51,069","±1,841","6.0%","±0.2","129,885","±2,756","10.7%","±0.2","19,799","±1,013","12.4%","±0.6","7,288","±626","9.3%","±0.8","7,565","±692","9.6%","±0.9"
"        Built 1940 to 1949","40,321","±1,322","6.7%","±0.2","360,762","±3,805","10.1%","±0.1","5,007","±568","5.8%","±0.7","23,192","±939","2.1%","±0.1","14,827","±842","1.8%","±0.1","41,670","±1,446","3.4%","±0.1","5,971","±630","3.7%","±0.4","2,785","±404","3.5%","±0.5","2,919","±426","3.7%","±0.5"
"        Built 1939 or earlier","116,754","±2,230","19.3%","±0.4","521,527","±4,546","14.7%","±0.1","5,199","±548","6.0%","±0.6","27,266","±1,171","2.5%","±0.1","18,028","±965","2.1%","±0.1","50,943","±1,700","4.2%","±0.1","12,997","±867","8.2%","±0.5","2,048","±294","2.6%","±0.4","3,863","±417","4.9%","±0.5"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","605,767","±422","605,767","(X)","3,559,790","±989","3,559,790","(X)","86,691","±193","86,691","(X)","1,101,244","±541","1,101,244","(X)","845,066","±1,119","845,066","(X)","1,215,528","±822","1,215,528","(X)","159,317","±449","159,317","(X)","78,488","±262","78,488","(X)","78,565","±273","78,565","(X)"
"        1 room","23,803","±1,204","3.9%","±0.2","225,452","±3,607","6.3%","±0.1","1,789","±311","2.1%","±0.4","32,364","±1,606","2.9%","±0.1","16,789","±1,130","2.0%","±0.1","39,889","±1,835","3.3%","±0.2","5,817","±582","3.7%","±0.4","1,564","±314","2.0%","±0.4","1,634","±334","2.1%","±0.4"
"        2 rooms","37,778","±1,509","6.2%","±0.2","206,070","±3,843","5.8%","±0.1","1,141","±259","1.3%","±0.3","38,709","±1,897","3.5%","±0.2","24,793","±1,053","2.9%","±0.1","52,743","±2,088","4.3%","±0.2","6,580","±591","4.1%","±0.4","2,385","±345","3.0%","±0.4","3,338","±499","4.2%","±0.6"
"        3 rooms","87,619","±1,997","14.5%","±0.3","560,427","±5,517","15.7%","±0.2","4,734","±537","5.5%","±0.6","131,353","±2,630","11.9%","±0.2","73,918","±2,197","8.7%","±0.3","160,668","±3,486","13.2%","±0.3","18,687","±996","11.7%","±0.6","5,660","±583","7.2%","±0.7","8,471","±669","10.8%","±0.8"
"        4 rooms","121,608","±2,582","20.1%","±0.4","751,971","±6,402","21.1%","±0.2","14,282","±838","16.5%","±1.0","222,937","±3,653","20.2%","±0.3","144,259","±2,906","17.1%","±0.3","251,516","±4,030","20.7%","±0.3","32,083","±1,447","20.1%","±0.9","14,333","±825","18.3%","±1.1","15,430","±795","19.6%","±1.0"
"        5 rooms","105,091","±2,004","17.3%","±0.3","628,353","±5,440","17.7%","±0.2","22,639","±928","26.1%","±1.1","194,178","±3,310","17.6%","±0.3","169,183","±3,079","20.0%","±0.4","224,526","±3,921","18.5%","±0.3","31,949","±1,204","20.1%","±0.7","19,073","±983","24.3%","±1.2","15,041","±813","19.1%","±1.1"
"        6 rooms","91,493","±1,918","15.1%","±0.3","522,307","±5,073","14.7%","±0.1","19,179","±999","22.1%","±1.2","182,073","±3,331","16.5%","±0.3","154,779","±2,862","18.3%","±0.3","190,061","±2,928","15.6%","±0.2","27,985","±1,149","17.6%","±0.7","16,715","±875","21.3%","±1.1","14,788","±707","18.8%","±0.9"
"        7 rooms","57,520","±1,434","9.5%","±0.2","289,915","±3,367","8.1%","±0.1","10,726","±878","12.4%","±1.0","119,958","±2,278","10.9%","±0.2","100,294","±2,783","11.9%","±0.3","122,735","±2,860","10.1%","±0.2","16,089","±992","10.1%","±0.6","9,026","±597","11.5%","±0.8","8,127","±615","10.3%","±0.8"
"        8 rooms","40,223","±1,494","6.6%","±0.2","193,079","±3,229","5.4%","±0.1","6,976","±706","8.0%","±0.8","89,706","±1,938","8.1%","±0.2","77,410","±2,147","9.2%","±0.3","87,662","±2,158","7.2%","±0.2","10,511","±663","6.6%","±0.4","5,173","±425","6.6%","±0.5","5,961","±475","7.6%","±0.6"
"        9 rooms or more","40,632","±1,162","6.7%","±0.2","182,216","±3,249","5.1%","±0.1","5,225","±511","6.0%","±0.6","89,966","±2,206","8.2%","±0.2","83,641","±2,073","9.9%","±0.2","85,728","±2,127","7.1%","±0.2","9,616","±620","6.0%","±0.4","4,559","±461","5.8%","±0.6","5,775","±489","7.4%","±0.6"
"        Median rooms","4.8","±0.1","(X)","(X)","4.6","±0.1","(X)","(X)","5.4","±0.2","(X)","(X)","5.1","±0.1","(X)","(X)","5.5","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)","5.0","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","5.2","±0.1","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","605,767","±422","605,767","(X)","3,559,790","±989","3,559,790","(X)","86,691","±193","86,691","(X)","1,101,244","±541","1,101,244","(X)","845,066","±1,119","845,066","(X)","1,215,528","±822","1,215,528","(X)","159,317","±449","159,317","(X)","78,488","±262","78,488","(X)","78,565","±273","78,565","(X)"
"        No bedroom","28,705","±1,270","4.7%","±0.2","254,783","±3,861","7.2%","±0.1","1,901","±310","2.2%","±0.4","35,062","±1,735","3.2%","±0.2","18,470","±1,182","2.2%","±0.1","44,420","±1,846","3.7%","±0.2","6,491","±607","4.1%","±0.4","1,672","±325","2.1%","±0.4","1,883","±352","2.4%","±0.4"
"        1 bedroom","96,391","±2,122","15.9%","±0.3","683,893","±6,211","19.2%","±0.2","4,776","±416","5.5%","±0.5","137,201","±2,806","12.5%","±0.3","65,547","±1,454","7.8%","±0.2","168,234","±3,534","13.8%","±0.3","22,515","±1,080","14.1%","±0.7","6,561","±615","8.4%","±0.8","9,521","±671","12.1%","±0.8"
"        2 bedrooms","172,286","±2,567","28.4%","±0.4","1,061,722","±6,019","29.8%","±0.2","18,397","±838","21.2%","±1.0","306,880","±4,011","27.9%","±0.4","210,464","±2,820","24.9%","±0.3","366,893","±4,338","30.2%","±0.4","44,015","±1,430","27.6%","±0.9","21,236","±935","27.1%","±1.2","19,793","±898","25.2%","±1.1"
"        3 bedrooms","182,904","±2,252","30.2%","±0.4","1,001,007","±5,784","28.1%","±0.2","39,874","±1,032","46.0%","±1.2","331,821","±3,441","30.1%","±0.3","291,420","±3,430","34.5%","±0.4","365,071","±3,989","30.0%","±0.3","55,497","±1,352","34.8%","±0.8","38,469","±1,013","49.0%","±1.3","29,417","±1,025","37.4%","±1.3"
"        4 bedrooms","100,017","±1,908","16.5%","±0.3","437,634","±4,520","12.3%","±0.1","18,645","±890","21.5%","±1.0","228,667","±3,153","20.8%","±0.3","193,433","±2,723","22.9%","±0.3","213,282","±2,960","17.5%","±0.2","25,421","±1,142","16.0%","±0.7","9,156","±626","11.7%","±0.8","14,406","±789","18.3%","±1.0"
"        5 or more bedrooms","25,464","±1,000","4.2%","±0.2","120,751","±2,364","3.4%","±0.1","3,098","±432","3.6%","±0.5","61,613","±1,908","5.6%","±0.2","65,732","±1,809","7.8%","±0.2","57,628","±1,840","4.7%","±0.2","5,378","±534","3.4%","±0.3","1,394","±222","1.8%","±0.3","3,545","±432","4.5%","±0.5"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","573,174","±1,395","573,174","(X)","3,332,504","±5,051","3,332,504","(X)","81,306","±615","81,306","(X)","1,040,001","±2,374","1,040,001","(X)","736,413","±2,254","736,413","(X)","1,130,703","±2,942","1,130,703","(X)","148,309","±891","148,309","(X)","70,845","±699","70,845","(X)","74,614","±619","74,614","(X)"
"        Owner-occupied","307,281","±2,762","53.6%","±0.5","1,534,472","±9,202","46.0%","±0.2","42,480","±1,084","52.2%","±1.2","595,228","±4,505","57.2%","±0.4","497,259","±3,864","67.5%","±0.5","609,350","±5,331","53.9%","±0.4","77,504","±1,415","52.3%","±0.9","46,238","±766","65.3%","±1.1","38,280","±984","51.3%","±1.4"
"        Renter-occupied","265,893","±2,807","46.4%","±0.5","1,798,032","±6,624","54.0%","±0.2","38,826","±912","47.8%","±1.2","444,773","±4,043","42.8%","±0.4","239,154","±3,479","32.5%","±0.5","521,353","±4,743","46.1%","±0.4","70,805","±1,397","47.7%","±0.9","24,607","±892","34.7%","±1.1","36,334","±1,153","48.7%","±1.4"
"        Average household size of owner-occupied unit","2.99","±0.02","(X)","(X)","3.16","±0.01","(X)","(X)","3.22","±0.05","(X)","(X)","2.99","±0.01","(X)","(X)","3.27","±0.01","(X)","(X)","2.93","±0.01","(X)","(X)","2.79","±0.04","(X)","(X)","2.48","±0.03","(X)","(X)","2.84","±0.04","(X)","(X)"
"        Average household size of renter-occupied unit","2.67","±0.02","(X)","(X)","2.79","±0.01","(X)","(X)","3.37","±0.06","(X)","(X)","3.02","±0.02","(X)","(X)","3.23","±0.03","(X)","(X)","2.77","±0.02","(X)","(X)","2.94","±0.04","(X)","(X)","2.50","±0.05","(X)","(X)","2.80","±0.06","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","573,174","±1,395","573,174","(X)","3,332,504","±5,051","3,332,504","(X)","81,306","±615","81,306","(X)","1,040,001","±2,374","1,040,001","(X)","736,413","±2,254","736,413","(X)","1,130,703","±2,942","1,130,703","(X)","148,309","±891","148,309","(X)","70,845","±699","70,845","(X)","74,614","±619","74,614","(X)"
"        Moved in 2019 or later","25,785","±1,314","4.5%","±0.2","133,813","±3,544","4.0%","±0.1","3,450","±563","4.2%","±0.7","48,379","±2,374","4.7%","±0.2","32,232","±1,686","4.4%","±0.2","61,645","±2,752","5.5%","±0.2","7,273","±788","4.9%","±0.5","3,686","±593","5.2%","±0.8","4,295","±592","5.8%","±0.8"
"        Moved in 2015 to 2018","155,622","±2,363","27.2%","±0.4","851,857","±5,484","25.6%","±0.2","23,775","±1,005","29.2%","±1.3","289,254","±3,832","27.8%","±0.4","215,720","±3,387","29.3%","±0.4","359,915","±4,151","31.8%","±0.4","43,308","±1,541","29.2%","±1.0","19,975","±783","28.2%","±1.0","23,979","±1,016","32.1%","±1.3"
"        Moved in 2010 to 2014","134,423","±2,454","23.5%","±0.4","764,672","±5,935","22.9%","±0.2","20,778","±949","25.6%","±1.2","223,452","±3,512","21.5%","±0.3","178,336","±3,040","24.2%","±0.4","248,330","±3,441","22.0%","±0.3","32,669","±1,343","22.0%","±0.9","15,531","±773","21.9%","±1.1","16,742","±870","22.4%","±1.2"
"        Moved in 2000 to 2009","123,901","±1,993","21.6%","±0.4","731,608","±5,229","22.0%","±0.2","17,202","±947","21.2%","±1.1","222,933","±3,201","21.4%","±0.3","189,289","±2,967","25.7%","±0.4","226,167","±3,331","20.0%","±0.3","29,606","±1,242","20.0%","±0.8","15,644","±731","22.1%","±1.0","14,947","±850","20.0%","±1.1"
"        Moved in 1990 to 1999","64,993","±1,698","11.3%","±0.3","432,706","±4,486","13.0%","±0.1","7,969","±588","9.8%","±0.7","136,577","±2,447","13.1%","±0.2","73,681","±1,866","10.0%","±0.3","120,145","±2,327","10.6%","±0.2","16,036","±824","10.8%","±0.6","8,222","±499","11.6%","±0.7","7,636","±525","10.2%","±0.7"
"        Moved in 1989 and earlier","68,450","±1,412","11.9%","±0.3","417,848","±4,296","12.5%","±0.1","8,132","±600","10.0%","±0.7","119,406","±1,953","11.5%","±0.2","47,155","±1,380","6.4%","±0.2","114,501","±2,244","10.1%","±0.2","19,417","±949","13.1%","±0.6","7,787","±540","11.0%","±0.8","7,015","±483","9.4%","±0.7"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","573,174","±1,395","573,174","(X)","3,332,504","±5,051","3,332,504","(X)","81,306","±615","81,306","(X)","1,040,001","±2,374","1,040,001","(X)","736,413","±2,254","736,413","(X)","1,130,703","±2,942","1,130,703","(X)","148,309","±891","148,309","(X)","70,845","±699","70,845","(X)","74,614","±619","74,614","(X)"
"        No vehicles available","53,539","±1,379","9.3%","±0.2","293,326","±3,739","8.8%","±0.1","5,792","±617","7.1%","±0.8","46,302","±1,832","4.5%","±0.2","29,230","±1,183","4.0%","±0.2","61,132","±1,833","5.4%","±0.2","8,647","±757","5.8%","±0.5","4,496","±436","6.3%","±0.6","5,934","±586","8.0%","±0.8"
"        1 vehicle available","184,419","±2,177","32.2%","±0.4","1,107,200","±5,444","33.2%","±0.2","22,613","±821","27.8%","±1.0","275,875","±3,752","26.5%","±0.3","199,179","±2,952","27.0%","±0.4","335,811","±4,190","29.7%","±0.4","45,270","±1,600","30.5%","±1.1","20,924","±866","29.5%","±1.2","22,212","±998","29.8%","±1.3"
"        2 vehicles available","205,470","±2,359","35.8%","±0.4","1,169,978","±5,349","35.1%","±0.1","27,932","±961","34.4%","±1.2","426,150","±3,564","41.0%","±0.3","273,445","±3,194","37.1%","±0.4","452,331","±4,672","40.0%","±0.4","54,891","±1,541","37.0%","±1.0","26,853","±1,064","37.9%","±1.5","27,349","±996","36.7%","±1.3"
"        3 or more vehicles available","129,746","±2,058","22.6%","±0.4","762,000","±5,599","22.9%","±0.2","24,969","±1,043","30.7%","±1.2","291,674","±3,102","28.0%","±0.3","234,559","±3,223","31.9%","±0.4","281,429","±3,172","24.9%","±0.3","39,501","±1,469","26.6%","±1.0","18,572","±908","26.2%","±1.3","19,119","±806","25.6%","±1.1"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","573,174","±1,395","573,174","(X)","3,332,504","±5,051","3,332,504","(X)","81,306","±615","81,306","(X)","1,040,001","±2,374","1,040,001","(X)","736,413","±2,254","736,413","(X)","1,130,703","±2,942","1,130,703","(X)","148,309","±891","148,309","(X)","70,845","±699","70,845","(X)","74,614","±619","74,614","(X)"
"        Utility gas","397,155","±2,443","69.3%","±0.4","2,172,758","±6,443","65.2%","±0.2","39,752","±1,150","48.9%","±1.4","719,843","±3,647","69.2%","±0.3","513,081","±3,329","69.7%","±0.4","649,694","±3,899","57.5%","±0.3","107,567","±1,390","72.5%","±0.8","29,655","±813","41.9%","±1.1","46,351","±1,096","62.1%","±1.4"
"        Bottled, tank, or LP gas","8,782","±588","1.5%","±0.1","49,769","±1,591","1.5%","±0.1","2,875","±316","3.5%","±0.4","15,853","±1,071","1.5%","±0.1","21,848","±1,134","3.0%","±0.2","39,633","±1,568","3.5%","±0.1","4,174","±493","2.8%","±0.3","6,827","±531","9.6%","±0.7","2,199","±350","2.9%","±0.5"
"        Electricity","148,944","±2,311","26.0%","±0.4","888,926","±5,839","26.7%","±0.2","34,317","±1,096","42.2%","±1.3","254,557","±3,561","24.5%","±0.3","175,503","±3,306","23.8%","±0.4","361,745","±4,376","32.0%","±0.4","28,691","±1,171","19.3%","±0.8","21,729","±922","30.7%","±1.2","22,560","±1,083","30.2%","±1.4"
"        Fuel oil, kerosene, etc.","419","±146","0.1%","±0.1","2,635","±394","0.1%","±0.1","41","±42","0.1%","±0.1","453","±137","0.0%","±0.1","453","±165","0.1%","±0.1","1,184","±272","0.1%","±0.1","125","±82","0.1%","±0.1","1,796","±348","2.5%","±0.5","152","±75","0.2%","±0.1"
"        Coal or coke","139","±105","0.0%","±0.1","443","±138","0.0%","±0.1","13","±14","0.0%","±0.1","137","±88","0.0%","±0.1","66","±52","0.0%","±0.1","90","±64","0.0%","±0.1","0","±31","0.0%","±0.1","0","±31","0.0%","±0.1","41","±58","0.1%","±0.1"
"        Wood","1,797","±313","0.3%","±0.1","6,862","±577","0.2%","±0.1","1,371","±237","1.7%","±0.3","1,698","±316","0.2%","±0.1","3,661","±459","0.5%","±0.1","8,323","±704","0.7%","±0.1","774","±145","0.5%","±0.1","9,601","±615","13.6%","±0.9","1,105","±242","1.5%","±0.3"
"        Solar energy","2,587","±310","0.5%","±0.1","11,378","±775","0.3%","±0.1","766","±217","0.9%","±0.3","5,533","±650","0.5%","±0.1","7,117","±704","1.0%","±0.1","15,857","±1,103","1.4%","±0.1","659","±154","0.4%","±0.1","362","±113","0.5%","±0.2","1,364","±304","1.8%","±0.4"
"        Other fuel","1,139","±234","0.2%","±0.1","5,077","±542","0.2%","±0.1","1,598","±271","2.0%","±0.3","755","±183","0.1%","±0.1","1,807","±329","0.2%","±0.1","2,855","±422","0.3%","±0.1","160","±129","0.1%","±0.1","592","±149","0.8%","±0.2","227","±121","0.3%","±0.2"
"        No fuel used","12,212","±957","2.1%","±0.2","194,656","±2,839","5.8%","±0.1","573","±184","0.7%","±0.2","41,172","±1,418","4.0%","±0.1","12,877","±809","1.7%","±0.1","51,322","±1,856","4.5%","±0.2","6,159","±606","4.2%","±0.4","283","±135","0.4%","±0.2","615","±158","0.8%","±0.2"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
