"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error"
"    Boat, RV, van, etc.","265","±263","0.0%","±0.1","2,392","±871","0.1%","±0.1","26","±45","0.0%","±0.1","741","±561","0.1%","±0.1","1,373","±579","0.2%","±0.1","974","±431","0.1%","±0.1","80","±72","0.1%","±0.1","381","±360","0.4%","±0.3","373","±434","0.5%","±0.6"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","583,618","±925","583,618","(X)","3,444,644","±1,999","3,444,644","(X)","83,571","±1,069","83,571","(X)","1,052,535","±959","1,052,535","(X)","805,050","±953","805,050","(X)","1,169,225","±1,389","1,169,225","(X)","152,699","±726","152,699","(X)","104,286","±642","104,286","(X)","75,265","±495","75,265","(X)"
"    Built 2010 or later","2,911","±792","0.5%","±0.1","16,306","±1,892","0.5%","±0.1","356","±360","0.4%","±0.4","9,119","±1,803","0.9%","±0.2","8,078","±1,316","1.0%","±0.2","8,202","±1,393","0.7%","±0.1","519","±325","0.3%","±0.2","183","±169","0.2%","±0.2","121","±155","0.2%","±0.2"
"    Built 2000 to 2009","47,328","±3,282","8.1%","±0.6","221,832","±5,841","6.4%","±0.2","18,199","±1,767","21.8%","±2.1","101,811","±4,735","9.7%","±0.5","222,435","±6,342","27.6%","±0.8","136,778","±4,756","11.7%","±0.4","14,355","±1,733","9.4%","±1.1","8,457","±1,469","8.1%","±1.4","13,763","±1,449","18.3%","±1.9"
"    Built 1990 to 1999","49,356","±3,043","8.5%","±0.5","215,942","±6,423","6.3%","±0.2","12,721","±1,401","15.2%","±1.6","119,612","±5,621","11.4%","±0.5","119,340","±4,439","14.8%","±0.6","142,038","±5,964","12.1%","±0.5","15,833","±2,053","10.4%","±1.3","7,177","±1,215","6.9%","±1.2","11,109","±1,237","14.8%","±1.6"
"    Built 1980 to 1989","67,687","±3,406","11.6%","±0.6","401,120","±9,023","11.6%","±0.3","14,684","±1,788","17.6%","±2.1","166,270","±4,662","15.8%","±0.4","169,167","±5,169","21.0%","±0.6","230,167","±6,541","19.7%","±0.6","23,151","±2,178","15.2%","±1.4","14,037","±1,620","13.5%","±1.5","11,417","±1,735","15.2%","±2.3"
"    Built 1970 to 1979","100,056","±4,711","17.1%","±0.8","476,491","±8,035","13.8%","±0.2","13,081","±1,479","15.7%","±1.8","260,786","±6,354","24.8%","±0.6","124,550","±5,161","15.5%","±0.6","279,857","±6,096","23.9%","±0.5","27,123","±2,157","17.8%","±1.4","25,395","±2,094","24.4%","±2.0","15,824","±1,443","21.0%","±1.9"
"    Built 1960 to 1969","77,574","±3,767","13.3%","±0.7","500,551","±9,209","14.5%","±0.3","8,295","±1,261","9.9%","±1.5","205,145","±5,890","19.5%","±0.6","69,791","±3,330","8.7%","±0.4","146,927","±4,985","12.6%","±0.4","33,786","±2,227","22.1%","±1.5","16,487","±1,717","15.8%","±1.6","9,181","±1,404","12.2%","±1.9"
"    Built 1950 to 1959","73,355","±4,167","12.6%","±0.7","708,138","±10,500","20.6%","±0.3","8,247","±1,178","9.9%","±1.4","142,351","±4,689","13.5%","±0.4","55,984","±3,457","7.0%","±0.4","130,263","±4,933","11.1%","±0.4","20,033","±2,149","13.1%","±1.4","12,085","±1,818","11.6%","±1.7","7,220","±1,307","9.6%","±1.7"
"    Built 1940 to 1949","45,831","±3,034","7.9%","±0.5","368,243","±7,761","10.7%","±0.2","4,654","±867","5.6%","±1.0","23,747","±2,544","2.3%","±0.2","17,433","±2,162","2.2%","±0.3","44,000","±3,361","3.8%","±0.3","6,093","±1,121","4.0%","±0.7","7,802","±1,442","7.5%","±1.4","3,232","±943","4.3%","±1.3"
"    Built 1939 or earlier","119,520","±3,485","20.5%","±0.6","536,021","±9,492","15.6%","±0.3","3,334","±716","4.0%","±0.8","23,694","±2,221","2.3%","±0.2","18,272","±2,026","2.3%","±0.3","50,993","±3,366","4.4%","±0.3","11,806","±1,496","7.7%","±1.0","12,663","±1,752","12.1%","±1.7","3,398","±964","4.5%","±1.3"
"ROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","583,618","±925","583,618","(X)","3,444,644","±1,999","3,444,644","(X)","83,571","±1,069","83,571","(X)","1,052,535","±959","1,052,535","(X)","805,050","±953","805,050","(X)","1,169,225","±1,389","1,169,225","(X)","152,699","±726","152,699","(X)","104,286","±642","104,286","(X)","75,265","±495","75,265","(X)"
"    1 room","21,517","±2,473","3.7%","±0.4","184,704","±7,104","5.4%","±0.2","920","±436","1.1%","±0.5","19,598","±2,596","1.9%","±0.2","13,156","±2,100","1.6%","±0.3","25,780","±2,864","2.2%","±0.2","4,805","±1,333","3.1%","±0.9","3,338","±1,105","3.2%","±1.1","1,288","±638","1.7%","±0.8"
"    2 rooms","25,629","±2,356","4.4%","±0.4","190,431","±6,013","5.5%","±0.2","871","±432","1.0%","±0.5","42,659","±3,493","4.1%","±0.3","17,237","±2,113","2.1%","±0.3","45,218","±3,914","3.9%","±0.3","7,242","±1,103","4.7%","±0.7","4,769","±979","4.6%","±0.9","2,647","±859","3.5%","±1.1"
"    3 rooms","80,177","±4,123","13.7%","±0.7","580,404","±9,924","16.8%","±0.3","5,865","±1,133","7.0%","±1.3","131,177","±5,430","12.5%","±0.5","59,346","±3,627","7.4%","±0.5","156,328","±5,765","13.4%","±0.5","17,688","±1,976","11.6%","±1.3","11,863","±1,601","11.4%","±1.5","8,283","±1,458","11.0%","±1.9"
"    4 rooms","116,904","±5,005","20.0%","±0.9","742,644","±10,648","21.6%","±0.3","14,793","±1,703","17.7%","±2.0","205,834","±7,274","19.6%","±0.7","143,769","±5,982","17.9%","±0.7","229,769","±6,344","19.7%","±0.5","29,929","±2,705","19.6%","±1.8","21,400","±2,283","20.5%","±2.2","15,428","±1,929","20.5%","±2.5"
"    5 rooms","107,697","±4,304","18.5%","±0.7","648,667","±10,238","18.8%","±0.3","23,708","±1,861","28.4%","±2.2","192,546","±6,575","18.3%","±0.6","178,232","±5,930","22.1%","±0.7","219,200","±6,772","18.7%","±0.6","30,395","±2,403","19.9%","±1.6","25,380","±2,176","24.3%","±2.1","15,214","±1,600","20.2%","±2.1"
"    6 rooms","94,310","±4,431","16.2%","±0.8","487,056","±9,032","14.1%","±0.3","19,645","±2,089","23.5%","±2.5","183,518","±5,683","17.4%","±0.5","159,143","±5,874","19.8%","±0.7","176,706","±5,647","15.1%","±0.5","27,682","±2,377","18.1%","±1.6","16,599","±1,802","15.9%","±1.7","12,879","±1,688","17.1%","±2.3"
"    7 rooms","66,105","±3,495","11.3%","±0.6","288,430","±6,935","8.4%","±0.2","9,844","±1,337","11.8%","±1.6","125,387","±5,071","11.9%","±0.5","104,212","±4,998","12.9%","±0.6","119,964","±4,980","10.3%","±0.4","17,253","±2,085","11.3%","±1.4","10,004","±1,358","9.6%","±1.3","9,731","±1,492","12.9%","±2.0"
"    8 rooms","37,435","±2,278","6.4%","±0.4","165,891","±6,263","4.8%","±0.2","4,409","±1,062","5.3%","±1.3","79,553","±4,050","7.6%","±0.4","61,893","±4,525","7.7%","±0.6","88,780","±5,125","7.6%","±0.4","8,811","±1,235","5.8%","±0.8","6,245","±1,192","6.0%","±1.1","5,798","±1,021","7.7%","±1.4"
"    9 rooms or more","33,844","±2,605","5.8%","±0.4","156,417","±5,598","4.5%","±0.2","3,516","±743","4.2%","±0.9","72,263","±3,320","6.9%","±0.3","68,062","±3,649","8.5%","±0.5","107,480","±5,135","9.2%","±0.4","8,894","±1,245","5.8%","±0.8","4,688","±973","4.5%","±0.9","3,997","±682","5.3%","±0.9"
"    Median rooms","4.9","±0.2","(X)","(X)","4.5","±0.1","(X)","(X)","5.3","±0.1","(X)","(X)","5.2","±0.2","(X)","(X)","5.4","±0.2","(X)","(X)","5.1","±0.1","(X)","(X)","5.0","±0.2","(X)","(X)","4.9","±0.1","(X)","(X)","5.2","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","583,618","±925","583,618","(X)","3,444,644","±1,999","3,444,644","(X)","83,571","±1,069","83,571","(X)","1,052,535","±959","1,052,535","(X)","805,050","±953","805,050","(X)","1,169,225","±1,389","1,169,225","(X)","152,699","±726","152,699","(X)","104,286","±642","104,286","(X)","75,265","±495","75,265","(X)"
"    No bedroom","25,276","±2,595","4.3%","±0.4","205,383","±7,396","6.0%","±0.2","1,438","±515","1.7%","±0.6","21,556","±2,634","2.0%","±0.3","14,787","±2,114","1.8%","±0.3","29,763","±2,872","2.5%","±0.2","5,342","±1,381","3.5%","±0.9","3,889","±1,108","3.7%","±1.1","1,441","±641","1.9%","±0.9"
"    1 bedroom","99,515","±4,472","17.1%","±0.8","703,932","±11,506","20.4%","±0.3","6,233","±1,229","7.5%","±1.5","147,493","±5,812","14.0%","±0.6","66,253","±3,853","8.2%","±0.5","171,140","±6,512","14.6%","±0.6","23,061","±1,897","15.1%","±1.2","14,302","±1,678","13.7%","±1.6","9,351","±1,495","12.4%","±2.0"
"    2 bedrooms","166,177","±5,403","28.5%","±0.9","1,041,341","±13,203","30.2%","±0.4","17,381","±1,995","20.8%","±2.3","298,209","±7,427","28.3%","±0.7","213,944","±7,067","26.6%","±0.9","357,821","±6,762","30.6%","±0.6","41,088","±2,987","26.9%","±1.9","33,964","±2,716","32.6%","±2.6","20,500","±2,196","27.2%","±2.9"
"    3 bedrooms","180,714","±4,878","31.0%","±0.8","969,168","±12,216","28.1%","±0.4","38,010","±2,103","45.5%","±2.5","319,664","±6,770","30.4%","±0.6","280,044","±6,293","34.8%","±0.8","363,620","±7,911","31.1%","±0.7","55,066","±2,999","36.1%","±2.0","37,015","±2,446","35.5%","±2.3","25,587","±2,211","34.0%","±3.0"
"    4 bedrooms","88,020","±3,802","15.1%","±0.7","409,077","±8,821","11.9%","±0.3","17,571","±2,048","21.0%","±2.4","211,994","±5,736","20.1%","±0.5","170,060","±6,135","21.1%","±0.8","195,970","±5,820","16.8%","±0.5","23,356","±1,962","15.3%","±1.3","12,095","±1,821","11.6%","±1.7","14,898","±1,711","19.8%","±2.3"
"    5 or more bedrooms","23,916","±2,060","4.1%","±0.4","115,743","±4,661","3.4%","±0.1","2,938","±888","3.5%","±1.1","53,619","±3,393","5.1%","±0.3","59,962","±3,553","7.4%","±0.4","50,911","±3,585","4.4%","±0.3","4,786","±976","3.1%","±0.6","3,021","±1,046","2.9%","±1.0","3,488","±839","4.6%","±1.1"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","548,274","±3,439","548,274","(X)","3,231,660","±7,188","3,231,660","(X)","76,451","±1,882","76,451","(X)","995,368","±4,462","995,368","(X)","685,260","±5,695","685,260","(X)","1,079,653","±5,725","1,079,653","(X)","141,639","±1,840","141,639","(X)","93,253","±1,926","93,253","(X)","71,568","±1,351","71,568","(X)"
"    Owner-occupied","286,205","±5,284","52.2%","±0.9","1,481,122","±11,896","45.8%","±0.4","40,931","±2,532","53.5%","±3.0","565,956","±6,120","56.9%","±0.6","442,164","±7,580","64.5%","±1.0","573,530","±6,642","53.1%","±0.6","73,176","±2,449","51.7%","±1.7","52,900","±2,407","56.7%","±2.5","35,683","±1,960","49.9%","±2.7"
"    Renter-occupied","262,069","±5,487","47.8%","±0.9","1,750,538","±12,601","54.2%","±0.4","35,520","±2,389","46.5%","±3.0","429,412","±6,235","43.1%","±0.6","243,096","±6,849","35.5%","±1.0","506,123","±7,464","46.9%","±0.6","68,463","±2,801","48.3%","±1.7","40,353","±2,530","43.3%","±2.5","35,885","±2,175","50.1%","±2.7"
"    Average household size of owner-occupied unit","2.91","±0.04","(X)","(X)","3.20","±0.02","(X)","(X)","3.25","±0.11","(X)","(X)","3.02","±0.03","(X)","(X)","3.20","±0.04","(X)","(X)","2.87","±0.03","(X)","(X)","2.82","±0.09","(X)","(X)","2.63","±0.11","(X)","(X)","2.76","±0.12","(X)","(X)"
"    Average household size of renter-occupied unit","2.62","±0.04","(X)","(X)","2.89","±0.02","(X)","(X)","3.47","±0.13","(X)","(X)","3.11","±0.04","(X)","(X)","3.37","±0.06","(X)","(X)","2.85","±0.04","(X)","(X)","3.00","±0.09","(X)","(X)","2.88","±0.15","(X)","(X)","2.71","±0.12","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","548,274","±3,439","548,274","(X)","3,231,660","±7,188","3,231,660","(X)","76,451","±1,882","76,451","(X)","995,368","±4,462","995,368","(X)","685,260","±5,695","685,260","(X)","1,079,653","±5,725","1,079,653","(X)","141,639","±1,840","141,639","(X)","93,253","±1,926","93,253","(X)","71,568","±1,351","71,568","(X)"
"    Moved in 2010 or later","165,573","±6,085","30.2%","±1.1","954,550","±12,395","29.5%","±0.4","24,933","±1,733","32.6%","±2.2","291,508","±7,031","29.3%","±0.7","216,819","±5,849","31.6%","±0.8","360,777","±6,997","33.4%","±0.6","43,448","±2,791","30.7%","±1.9","24,651","±2,341","26.4%","±2.4","25,098","±1,976","35.1%","±2.5"
"    Moved in 2000 to 2009","209,442","±6,401","38.2%","±1.1","1,208,383","±13,206","37.4%","±0.4","31,855","±2,276","41.7%","±2.7","383,265","±7,596","38.5%","±0.8","308,480","±6,199","45.0%","±0.8","414,711","±7,935","38.4%","±0.7","48,947","±2,801","34.6%","±1.9","37,297","±2,776","40.0%","±2.8","27,605","±1,727","38.6%","±2.4"
"    Moved in 1990 to 1999","83,413","±3,738","15.2%","±0.7","535,101","±9,378","16.6%","±0.3","9,586","±1,503","12.5%","±1.9","169,106","±5,869","17.0%","±0.6","96,321","±3,830","14.1%","±0.6","160,464","±5,080","14.9%","±0.5","25,240","±1,975","17.8%","±1.4","13,902","±1,533","14.9%","±1.7","9,569","±1,132","13.4%","±1.6"
"    Moved in 1980 to 1989","43,248","±2,491","7.9%","±0.5","249,803","±5,962","7.7%","±0.2","5,546","±908","7.3%","±1.2","74,089","±2,821","7.4%","±0.3","39,317","±2,686","5.7%","±0.4","72,171","±3,209","6.7%","±0.3","11,448","±1,444","8.1%","±1.0","9,005","±1,189","9.7%","±1.3","3,950","±779","5.5%","±1.1"
"    Moved in 1970 to 1979","26,792","±1,809","4.9%","±0.3","167,270","±5,506","5.2%","±0.2","2,924","±697","3.8%","±0.9","49,191","±2,667","4.9%","±0.3","17,024","±1,732","2.5%","±0.2","45,682","±2,492","4.2%","±0.2","7,697","±1,045","5.4%","±0.8","6,368","±1,203","6.8%","±1.3","2,856","±630","4.0%","±0.9"
"    Moved in 1969 or earlier","19,806","±1,700","3.6%","±0.3","116,553","±3,961","3.6%","±0.1","1,607","±446","2.1%","±0.6","28,209","±2,014","2.8%","±0.2","7,299","±1,125","1.1%","±0.2","25,848","±2,292","2.4%","±0.2","4,859","±810","3.4%","±0.6","2,030","±528","2.2%","±0.6","2,490","±596","3.5%","±0.8"
"VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","548,274","±3,439","548,274","(X)","3,231,660","±7,188","3,231,660","(X)","76,451","±1,882","76,451","(X)","995,368","±4,462","995,368","(X)","685,260","±5,695","685,260","(X)","1,079,653","±5,725","1,079,653","(X)","141,639","±1,840","141,639","(X)","93,253","±1,926","93,253","(X)","71,568","±1,351","71,568","(X)"
"    No vehicles available","56,626","±3,739","10.3%","±0.7","321,734","±6,703","10.0%","±0.2","5,544","±908","7.3%","±1.2","49,748","±3,152","5.0%","±0.3","33,797","±2,805","4.9%","±0.4","67,371","±3,649","6.2%","±0.3","10,040","±1,467","7.1%","±1.0","4,457","±1,002","4.8%","±1.1","6,180","±1,165","8.6%","±1.6"
"    1 vehicle available","183,911","±5,051","33.5%","±0.9","1,151,203","±9,558","35.6%","±0.3","23,988","±2,076","31.4%","±2.7","290,341","±7,356","29.2%","±0.7","209,226","±5,776","30.5%","±0.8","348,413","±7,937","32.3%","±0.7","47,647","±2,597","33.6%","±1.8","28,480","±2,073","30.5%","±2.1","24,055","±1,965","33.6%","±2.8"
"    2 vehicles available","199,528","±5,254","36.4%","±1.0","1,132,780","±12,166","35.1%","±0.4","27,019","±2,278","35.3%","±2.7","417,423","±8,911","41.9%","±0.8","273,787","±6,233","40.0%","±0.8","430,798","±8,138","39.9%","±0.7","52,801","±2,574","37.3%","±1.7","36,433","±2,575","39.1%","±2.6","26,983","±2,145","37.7%","±2.8"
"    3 or more vehicles available","108,209","±4,069","19.7%","±0.7","625,943","±8,750","19.4%","±0.3","19,900","±2,083","26.0%","±2.6","237,856","±6,117","23.9%","±0.6","168,450","±5,746","24.6%","±0.8","233,071","±5,578","21.6%","±0.5","31,151","±2,278","22.0%","±1.6","23,883","±2,039","25.6%","±2.2","14,350","±1,580","20.1%","±2.2"
"HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","548,274","±3,439","548,274","(X)","3,231,660","±7,188","3,231,660","(X)","76,451","±1,882","76,451","(X)","995,368","±4,462","995,368","(X)","685,260","±5,695","685,260","(X)","1,079,653","±5,725","1,079,653","(X)","141,639","±1,840","141,639","(X)","93,253","±1,926","93,253","(X)","71,568","±1,351","71,568","(X)"
"    Utility gas","387,201","±5,103","70.6%","±0.8","2,166,520","±11,665","67.0%","±0.4","40,942","±2,321","53.6%","±2.9","704,683","±7,999","70.8%","±0.7","507,903","±7,166","74.1%","±0.8","625,866","±8,631","58.0%","±0.8","109,832","±2,734","77.5%","±1.6","62,326","±2,457","66.8%","±2.2","46,314","±2,361","64.7%","±2.9"
"    Bottled, tank, or LP gas","6,895","±935","1.3%","±0.2","35,437","±2,408","1.1%","±0.1","3,188","±664","4.2%","±0.9","10,870","±1,393","1.1%","±0.1","18,611","±1,789","2.7%","±0.3","31,322","±2,133","2.9%","±0.2","2,524","±511","1.8%","±0.4","7,307","±1,077","7.8%","±1.2","1,937","±605","2.7%","±0.9"
"    Electricity","139,826","±4,570","25.5%","±0.8","844,840","±12,411","26.1%","±0.4","28,424","±2,187","37.2%","±2.6","238,588","±6,741","24.0%","±0.7","136,044","±4,950","19.9%","±0.7","367,225","±8,537","34.0%","±0.8","24,131","±2,235","17.0%","±1.6","16,662","±1,840","17.9%","±1.8","21,866","±2,207","30.6%","±3.0"
"    Fuel oil, kerosene, etc.","530","±456","0.1%","±0.1","1,528","±531","0.0%","±0.1","65","±68","0.1%","±0.1","184","±141","0.0%","±0.1","826","±480","0.1%","±0.1","538","±426","0.0%","±0.1","303","±251","0.2%","±0.2","186","±166","0.2%","±0.2","38","±64","0.1%","±0.1"
"    Coal or coke","41","±66","0.0%","±0.1","81","±95","0.0%","±0.1","0","±197","0.0%","±0.2","0","±197","0.0%","±0.1","38","±63","0.0%","±0.1","0","±197","0.0%","±0.1","0","±197","0.0%","±0.1","0","±197","0.0%","±0.2","0","±197","0.0%","±0.2"
"    Wood","2,756","±825","0.5%","±0.2","7,428","±1,110","0.2%","±0.1","1,696","±504","2.2%","±0.6","2,201","±617","0.2%","±0.1","4,625","±1,145","0.7%","±0.2","10,425","±1,371","1.0%","±0.1","933","±316","0.7%","±0.2","5,151","±1,076","5.5%","±1.2","1,080","±439","1.5%","±0.6"
"    Solar energy","637","±299","0.1%","±0.1","2,153","±547","0.1%","±0.1","0","±197","0.0%","±0.2","447","±230","0.0%","±0.1","462","±293","0.1%","±0.1","1,348","±423","0.1%","±0.1","297","±191","0.2%","±0.1","228","±161","0.2%","±0.2","158","±148","0.2%","±0.2"
"    Other fuel","1,001","±445","0.2%","±0.1","3,420","±763","0.1%","±0.1","1,828","±662","2.4%","±0.9","666","±423","0.1%","±0.1","2,042","±764","0.3%","±0.1","4,453","±1,012","0.4%","±0.1","146","±149","0.1%","±0.1","679","±468","0.7%","±0.5","39","±67","0.1%","±0.1"
"    No fuel used","9,387","±1,208","1.7%","±0.2","170,253","±5,288","5.3%","±0.2","308","±239","0.4%","±0.3","37,729","±2,734","3.8%","±0.3","14,709","±1,902","2.1%","±0.3","38,476","±3,343","3.6%","±0.3","3,473","±1,026","2.5%","±0.7","714","±364","0.8%","±0.4","136","±133","0.2%","±0.2"
"SELECTED CHARACTERISTICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
